KOD;L2016;L2017;L2018;L2019;L2020;L2021
1020;165130;165206;165606;165916;166113;165850
1061;700982;696503;690422;685285;679941;672185
1062;75183;74694;74312;73670;73090;72250
1063;48388;48327;48308;48178;48089;47655
1201;105416;105747;106096;106514;106858;106947
1202;92983;93001;93164;93206;93201;93035
1203;126463;126049;125725;125385;124536;123664
1204;59374;59342;59311;59350;59174;58977
1205;109140;109049;109076;109104;108886;108487
1206;270490;272591;274843;277145;279239;281440
1207;129699;130289;130964;131523;131764;132148
1208;49592;49505;49315;49137;48818;48464
1209;125020;125647;126339;127028;127600;127972
1210;212894;213864;214999;216176;216796;217071
1211;190517;190757;191266;191508;191782;191646
1212;113148;112863;112539;112035;111217;110471
1213;154819;154581;154292;153737;153486;152687
1214;43716;43648;43658;43523;43222;43057
1215;84175;84184;84317;84255;84232;83761
1216;200600;200886;201268;201570;201497;201230
1217;67884;67905;68034;68146;68072;68049
1218;159538;159678;159938;160130;160006;159662
1219;121534;123251;125197;127078;129136;130651
1261;761069;765320;767348;771069;779115;779966
1262;83903;83993;84041;83896;83794;83558
1263;110644;110110;109650;109062;108470;107498
1401;33569;33523;33542;33551;33410;33329
1402;90327;90264;89976;89670;89423;88891
1403;108740;108843;108981;108993;108981;108634
1404;45992;45682;45461;45203;44899;44581
1405;90656;91647;92847;94091;95963;97462
1406;98619;98559;98701;98451;98311;97979
1407;61319;61045;60699;60472;59997;59592
1408;113242;114421;115384;116775;118585;119882
1409;35063;34843;34496;34214;33874;33598
1410;31775;31544;31335;31023;30774;30556
1411;46014;45825;45580;45247;44892;44438
1412;151520;152268;152945;153824;154526;154951
1413;73758;73700;73376;73102;72626;72269
1414;78810;79024;79298;79291;79378;79265
1415;88378;88791;88708;88735;88654;88497
1416;73911;73562;73284;72782;72328;71790
1417;123120;123443;123770;124036;124352;124283
1418;177007;179496;182076;184951;188281;190606
1419;111038;111170;111226;111088;110952;110742
1420;88270;87903;87662;87409;87054;86671
1421;160776;161645;162922;164240;165912;166679
1422;53253;53014;52884;52824;52511;52101
1423;42571;42417;42116;41922;41455;41126
1424;51637;51746;51834;51809;51824;51741
1425;151461;151630;151955;152117;152291;152190
1426;81403;81580;81402;81352;81362;81385
1427;52980;52721;52559;52196;51954;51534
1428;85167;85175;85175;85105;85045;84804
1429;55152;54874;54604;54217;53804;53294
1430;40241;40075;39938;39864;39672;39340
1432;112957;114079;115466;117007;118613;120144
1433;67005;66825;66508;66174;65822;65410
1434;235043;238478;241890;245357;249299;252408
1435;73951;73994;74020;74065;74220;74210
1436;36761;36693;36606;36328;36166;35875
1437;39736;39586;39263;38944;38515;38202
1438;76138;76164;76056;75848;75749;75370
1461;52571;52337;52451;52262;52055;51656
1462;121731;121295;120787;120000;119425;118268
1463;216159;215020;214566;213029;211371;209296
1464;76942;77020;77653;77872;78185;77813
1465;1744351;1753977;1764615;1777972;1790658;1794166
1601;91191;90771;90493;90275;89804;89282
1602;46892;46445;46209;45883;45552;45015
1603;96139;95750;95236;94487;93880;93001
1604;66707;66446;66189;65837;65470;65026
1605;64599;64373;64227;63942;63747;63196
1606;42615;42707;42677;42688;42634;42543
1607;138969;138369;137819;136946;135948;134864
1608;65306;65101;64848;64602;64293;63788
1609;133048;123839;123612;123520;123726;123532
1610;56174;55915;55748;55524;55237;54765
1611;75440;75277;74871;74665;74300;73923
1661;118931;128043;128140;128137;128035;127839
1801;22072;21990;21891;21879;21664;21489
1802;66112;65990;65938;65713;65567;65373
1803;135293;135336;135479;135471;135299;134991
1804;121508;121299;120980;120714;120247;119727
1805;114773;114533;114156;113962;113450;112863
1806;62513;62472;62401;62476;62246;62039
1807;112117;112399;112481;112414;112283;111901
1821;26747;26691;26606;26562;26441;26375
1808;69701;69663;69641;69562;69370;68996
1809;56536;56352;56086;55652;55217;54711
1810;80201;80464;80741;80834;81049;81226
1811;136263;136315;136666;136673;136660;136441
1812;67178;66911;66917;66843;66589;66221
1813;74315;74360;74440;74398;74061;73919
1814;78869;78735;78644;78458;78362;77979
1815;73756;73956;74198;74374;74515;74573
1816;167342;167738;169165;168167;169438;169325
1817;95645;95279;95035;94758;94385;93818
1818;107946;107576;107138;106619;106037;105431
1819;61852;61781;61690;61558;61386;61161
1820;53711;53481;53388;53236;52965;52720
1861;46775;46565;46600;46511;46291;45948
1862;62720;62154;61808;61251;60689;59779
1863;185896;188021;189662;193883;196208;197863
1864;47816;47595;47387;47047;46745;46360
2001;59103;58905;58669;58367;58068;57651
2002;145517;146254;147002;148145;149611;150845
2003;56562;56075;55427;54863;54353;53695
2004;48357;48041;47781;47518;47210;46792
2005;44567;44146;43745;43143;42610;41991
2006;39162;38995;38748;38396;38057;37887
2007;51439;51305;51084;51000;50943;50819
2008;41544;41254;41011;40712;40412;40070
2009;20606;20417;20270;20092;19914;19689
2010;46072;45538;45191;44689;44193;43618
2011;69375;68664;68188;67466;66686;65883
2012;35932;35929;35955;35792;35674;35577
2013;58177;57903;57516;57248;56860;56408
2014;44299;44143;44027;43816;43505;43191
2061;295981;296628;297288;297459;297554;296958
2062;62737;62802;63092;63000;62945;62573
2063;69370;69626;69554;69827;69758;69639
2201;78780;78834;79134;79299;79198;79114
2202;96627;96952;97251;97551;97645;97661
2203;56887;56782;56678;56370;56085;55835
2204;109394;111675;113983;116199;118489;120327
2205;128925;131071;133841;136619;139397;141892
2206;71624;71771;72311;72528;72688;72923
2207;83464;83495;83423;83291;83174;82963
2208;66187;66177;66333;66280;66115;66083
2209;64311;64011;63911;63748;63470;63204
2210;36154;36018;35891;35746;35580;35438
2211;83080;83752;84687;85726;86684;87568
2212;98140;98501;98737;98816;98686;98832
2213;127289;127502;127868;128004;128186;128210
2216;42377;42250;41946;41569;41302;41104
2214;115610;115836;115896;115876;115728;115220
2215;209407;211455;213803;215908;217846;219457
2261;462249;463754;464254;466631;470907;470805
2262;247478;246991;246306;246309;246348;244969
2263;92496;91935;91465;91007;90681;89780
2264;37231;36849;36533;36046;35719;35286
2401;150103;149720;149316;148762;148089;147259
2402;162128;162926;164003;165000;165960;166348
2414;58973;59154;59550;59760;59776;59823
2403;177562;177863;178251;178139;178191;177536
2404;135633;135611;135227;134919;134555;134106
2405;115179;115360;115647;115558;115528;115416
2406;85256;85180;85094;84924;84591;84330
2407;76951;76837;76768;76593;76451;76109
2408;96473;97039;97689;98373;98990;99202
2409;71784;71670;71396;71119;70880;70486
2410;109836;110215;110626;111202;111539;111814
2411;109161;109111;108918;108513;108211;107410
2412;77431;77703;77942;78104;78213;78166
2413;138837;139079;139300;139833;140519;140780
2415;157831;157886;157767;157616;157088;156579
2416;120270;119750;119101;118434;117624;116672
2417;153047;153197;153187;153226;152756;152199
2461;172591;172030;171505;171259;170663;169756
2462;170761;169617;168394;166795;165263;163255
2463;109757;109398;109021;108434;107807;106846
2464;228179;226225;224376;222292;220433;217530
2465;122712;121802;121121;120259;119373;118285
2466;183392;182156;181309;179806;178603;177049
2467;90283;89883;89590;89128;88743;88038
2468;92847;92473;92090;91563;91115;90368
2469;299910;298111;296262;294510;292774;290553
2470;74851;74592;74647;74586;74618;74559
2471;56374;55954;55652;55299;55030;54702
2472;139844;139125;138578;138000;137360;136423
2473;139595;139252;139129;138696;138098;137128
2474;68231;67905;67523;67154;66841;66270
2475;207381;205873;204013;202036;199974;197586
2476;50970;50644;50385;50012;49557;49108
2477;128444;128351;128211;127831;127590;126871
2478;176327;175459;174349;173374;172360;170924
2479;61945;62013;62243;62456;62472;62844
2601;73068;72779;72323;72058;71596;71125
2602;87141;86886;86560;86076;85379;84908
2603;34449;34273;34049;33851;33619;33340
2604;208526;208977;210102;210694;211259;210992
2605;82336;81902;81315;80648;79858;79072
2606;53821;53361;53028;52577;52089;51525
2607;112417;111984;111111;110127;108964;107711
2608;40081;39838;39497;39271;38926;38487
2609;79266;78858;78405;77773;77017;76346
2610;77039;76384;75673;74817;73991;73163
2611;92032;91449;90888;90377;89576;88549
2612;73036;72797;72456;72167;71776;71250
2613;45921;45708;45521;45336;45059;44743
2661;198046;197704;196804;195774;194852;193415
2801;59378;58884;58435;57916;57231;56562
2802;42208;41954;41675;41391;41034;40776
2803;66113;66011;65772;65442;65139;64768
2804;58220;58094;57955;57549;57211;56986
2805;90080;90584;91022;91359;91560;91395
2806;57286;57141;56922;56754;56565;56227
2818;27280;27167;27062;26908;26689;26489
2807;92795;92791;92811;93020;92879;92644
2808;64450;63969;63470;62924;62283;61772
2809;42266;42039;41840;41512;41180;40852
2810;50696;50507;50381;50080;49762;49439
2811;33658;33432;33239;33068;32857;32638
2812;44321;44166;44104;43997;43822;43721
2813;34745;34593;34600;34433;34148;33993
2814;123479;124205;125220;126018;126781;127544
2815;106023;105607;105318;104780;104151;103492
2816;57570;57295;56933;56570;56135;55833
2817;70570;70466;70153;69885;69376;69089
2819;23451;23278;23068;22873;22638;22444
2861;121642;121191;120895;120142;119317;118582
2862;173444;172993;173070;172362;171979;171249
3001;47534;47415;47341;47229;47055;46824
3002;87890;87885;87570;87420;86990;86590
3003;145085;145211;145333;145317;145418;145068
3004;76230;76093;76087;76011;75908;75732
3005;51426;51423;51701;51972;51893;51929
3006;71790;71738;71741;71686;71563;71425
3007;82838;82905;83124;83030;83026;82911
3008;56427;56458;56394;56486;56451;56298
3009;88399;88125;87790;87216;86727;86108
3010;129273;129475;129715;129966;130053;129904
3011;79028;79263;79253;79230;79183;78866
3012;77664;77764;77720;77488;77274;76998
3013;54767;55391;55883;56485;57201;57911
3014;37084;37080;36987;36982;36751;36633
3015;74725;74901;75164;75363;75543;75576
3016;59501;59626;59726;59858;59825;59821
3017;161435;161574;161763;161519;161581;161357
3018;55409;55391;55479;55403;55500;55265
3019;137570;137382;137104;136621;136112;135477
3020;63252;63212;63218;63147;63014;62763
3021;366037;373570;381630;390308;399272;406590
3022;60294;60356;60409;60405;60262;60188
3023;59591;59617;59576;59371;59077;58959
3024;90133;90417;90920;91185;91664;91745
3025;57429;57691;58155;58456;58879;59149
3026;60907;61106;61229;61325;61425;61492
3027;84366;84297;84267;84101;83894;83599
3028;69900;69960;70212;70274;70233;70096
3029;57012;57270;57289;57326;57446;57431
3030;76956;77073;77361;77667;77994;78037
3031;69781;69834;69780;69606;69433;69161
3061;102808;102249;101625;100975;100246;99106
3062;75875;75342;74834;74151;73522;72539
3063;64559;64159;64197;63952;63505;62854
3064;542348;540372;538633;536438;534813;532048
3201;48448;48254;48041;47846;47560;47304
3202;49474;49220;48906;48602;48243;47970
3203;58062;57979;57729;57397;57015;56482
3204;82355;82474;82567;82540;82421;82310
3205;61371;61160;60885;60617;60277;59844
3206;83461;83249;82951;82530;81882;81289
3207;47494;47296;47281;47227;46999;46692
3208;79516;79450;79596;79547;79438;79300
3209;65844;66071;66269;66355;66480;66505
3218;37691;37638;37401;37104;36696;36486
3210;67140;67016;66648;66264;65638;65373
3211;76247;77201;78333;79476;80652;81584
3212;40211;40055;39873;39639;39336;39202
3213;57188;57033;56764;56409;56134;55777
3214;120422;120235;120091;120112;120186;120132
3215;78578;78430;78232;77965;77630;77258
3216;47994;47727;47643;47242;46724;46394
3217;54207;54013;53738;53462;53039;52707
3261;107970;107680;107670;107321;107048;106235
3262;405657;404878;403883;402465;401907;398255
3263;41152;41115;41032;40910;40888;40948
