indeks klienta; data; Wejœcie; Wyjœcie; P/S; SEJF
62; 2017-06-05; 13:46:00; 16:01:00; S; N
62; 2017-06-16; 15:59:00; 18:05:00; P; N
64; 2017-06-21; 10:04:00; 13:36:00; P; T
65; 2017-05-22; 11:50:00; 12:55:00; S; N
65; 2017-06-25; 09:31:00; 10:53:00; P; N
66; 2017-06-23; 12:18:00; 14:06:00; S; N
67; 2017-05-28; 17:20:00; 19:35:00; P; N
70; 2017-06-16; 10:31:00; 13:33:00; P; N
70; 2017-06-15; 09:58:00; 11:11:00; P; T
70; 2017-05-25; 16:19:00; 19:59:00; P; N
71; 2017-06-01; 15:59:00; 18:05:00; S; N
71; 2017-05-10; 15:59:00; 18:05:00; P; N
72; 2017-05-28; 09:37:00; 12:52:00; P; N
72; 2017-06-25; 11:50:00; 12:55:00; P; N
73; 2017-06-02; 12:08:00; 13:18:00; S; N
73; 2017-05-18; 14:01:00; 16:47:00; S; N
75; 2017-06-11; 10:57:00; 12:25:00; P; N
76; 2017-05-30; 10:04:00; 13:36:00; P; N
76; 2017-05-03; 09:17:00; 11:31:00; P; N
77; 2017-05-07; 08:41:00; 09:59:00; P; N
77; 2017-06-02; 17:00:00; 20:17:00; S; T
77; 2017-06-13; 13:35:00; 14:57:00; P; N
77; 2017-05-10; 16:40:00; 17:40:00; P; N
78; 2017-05-26; 09:29:00; 12:05:00; P; N
78; 2017-06-11; 13:54:00; 16:53:00; S; N
78; 2017-06-24; 16:19:00; 19:59:00; P; N
79; 2017-06-16; 15:27:00; 16:13:00; S; N
80; 2017-05-18; 09:58:00; 10:36:00; P; N
80; 2017-05-12; 17:59:00; 20:46:00; S; N
81; 2017-06-09; 08:55:00; 10:16:00; P; N
82; 2017-05-12; 15:59:00; 16:34:00; S; N
82; 2017-06-26; 15:59:00; 18:05:00; P; N
84; 2017-05-20; 15:59:00; 18:05:00; S; N
84; 2017-06-10; 14:04:00; 16:12:00; P; T
85; 2017-06-04; 16:51:00; 17:29:00; S; N
85; 2017-05-08; 12:01:00; 13:08:00; P; N
85; 2017-06-26; 16:51:00; 17:29:00; P; N
87; 2017-06-06; 09:06:00; 12:38:00; P; N
88; 2017-05-24; 11:50:00; 12:55:00; S; N
89; 2017-06-26; 14:06:00; 17:15:00; P; N
90; 2017-06-12; 09:31:00; 10:53:00; P; N
91; 2017-06-04; 09:58:00; 10:36:00; S; N
91; 2017-05-26; 11:41:00; 13:19:00; S; N
91; 2017-06-17; 09:17:00; 11:31:00; P; N
92; 2017-05-03; 11:23:00; 13:09:00; S; N
96; 2017-05-26; 16:19:00; 19:59:00; P; N
97; 2017-05-19; 10:39:00; 11:46:00; P; N
98; 2017-05-04; 08:42:00; 09:02:00; P; T
98; 2017-05-27; 10:39:00; 11:46:00; P; N
101; 2017-06-26; 16:52:00; 18:23:00; P; N
102; 2017-05-10; 09:37:00; 12:52:00; P; N
102; 2017-06-04; 13:38:00; 16:22:00; S; N
102; 2017-05-14; 11:23:00; 13:09:00; P; N
102; 2017-05-03; 08:54:00; 11:54:00; S; T
102; 2017-06-24; 10:31:00; 11:05:00; P; N
103; 2017-06-01; 10:53:00; 13:11:00; P; T
104; 2017-05-25; 12:18:00; 14:06:00; P; N
104; 2017-06-25; 12:08:00; 13:18:00; P; T
104; 2017-06-29; 10:31:00; 11:05:00; P; N
104; 2017-05-21; 13:38:00; 16:22:00; P; N
106; 2017-06-02; 12:37:00; 13:53:00; P; N
107; 2017-05-02; 16:19:00; 19:59:00; S; N
107; 2017-05-24; 14:06:00; 17:15:00; S; N
107; 2017-05-06; 15:59:00; 18:05:00; P; N
108; 2017-06-23; 08:42:00; 09:02:00; P; N
108; 2017-06-05; 08:41:00; 09:59:00; S; N
109; 2017-06-24; 09:58:00; 10:36:00; P; N
110; 2017-05-01; 13:38:00; 16:22:00; S; N
111; 2017-05-12; 10:31:00; 13:33:00; S; N
113; 2017-06-10; 12:18:00; 14:06:00; P; T
114; 2017-05-12; 13:16:00; 16:12:00; P; N
115; 2017-06-13; 08:07:00; 11:57:00; P; N
115; 2017-05-27; 12:37:00; 13:53:00; P; N
116; 2017-05-29; 14:06:00; 17:15:00; P; N
117; 2017-05-07; 14:04:00; 16:12:00; S; N
117; 2017-05-30; 08:42:00; 09:02:00; P; N
117; 2017-06-15; 13:54:00; 16:53:00; P; N
119; 2017-06-08; 11:41:00; 13:19:00; P; N
122; 2017-06-26; 17:45:00; 19:22:00; P; N
123; 2017-06-04; 13:31:00; 15:55:00; P; N
123; 2017-06-28; 16:52:00; 18:23:00; S; N
124; 2017-05-23; 16:19:00; 19:59:00; P; N
125; 2017-06-19; 15:59:00; 16:34:00; P; N
125; 2017-06-13; 14:40:00; 17:43:00; P; T
125; 2017-05-14; 14:04:00; 16:12:00; P; N
127; 2017-06-06; 12:01:00; 13:08:00; P; N
128; 2017-05-22; 10:57:00; 12:25:00; S; N
129; 2017-06-13; 13:46:00; 16:01:00; P; N
129; 2017-06-07; 13:35:00; 14:57:00; P; N
133; 2017-05-20; 16:19:00; 19:59:00; P; N
133; 2017-05-22; 16:52:00; 18:23:00; P; N
135; 2017-06-12; 16:18:00; 17:53:00; P; T
135; 2017-06-06; 08:54:00; 11:54:00; P; T
135; 2017-06-21; 14:40:00; 17:43:00; S; N
136; 2017-05-04; 10:53:00; 13:11:00; P; N
136; 2017-06-23; 13:46:00; 16:01:00; P; N
137; 2017-05-16; 11:41:00; 13:19:00; S; N
138; 2017-05-14; 13:54:00; 16:53:00; P; T
140; 2017-05-10; 08:42:00; 09:02:00; P; T
140; 2017-06-21; 13:38:00; 16:22:00; S; T
142; 2017-05-17; 10:31:00; 13:33:00; P; N
143; 2017-06-20; 09:17:00; 11:31:00; P; N
143; 2017-06-15; 17:59:00; 20:46:00; P; N
143; 2017-06-20; 17:43:00; 20:53:00; S; N
144; 2017-06-16; 08:54:00; 11:54:00; P; N
144; 2017-05-05; 17:20:00; 19:35:00; P; N
145; 2017-05-04; 10:51:00; 11:05:00; P; N
145; 2017-06-24; 08:07:00; 11:57:00; P; N
145; 2017-06-26; 12:32:00; 15:48:00; P; N
146; 2017-05-16; 14:40:00; 17:43:00; P; N
146; 2017-06-21; 15:59:00; 16:34:00; P; T
147; 2017-06-12; 10:51:00; 11:05:00; P; T
149; 2017-06-25; 14:06:00; 17:15:00; S; N
150; 2017-06-26; 12:18:00; 14:06:00; S; N
151; 2017-06-11; 17:59:00; 20:46:00; P; N
151; 2017-05-10; 17:45:00; 19:22:00; S; T
152; 2017-06-15; 13:46:00; 16:01:00; S; T
152; 2017-06-22; 14:32:00; 16:34:00; P; T
153; 2017-05-11; 10:57:00; 12:25:00; P; N
155; 2017-06-14; 16:40:00; 17:40:00; P; N
156; 2017-05-07; 17:45:00; 19:22:00; P; T
158; 2017-06-27; 13:31:00; 15:55:00; S; T
159; 2017-06-04; 11:23:00; 13:09:00; P; N
159; 2017-05-02; 09:31:00; 10:53:00; S; N
159; 2017-06-30; 09:41:00; 12:58:00; P; N
159; 2017-06-29; 17:43:00; 19:31:00; P; N
159; 2017-06-24; 13:16:00; 16:12:00; P; N
160; 2017-05-24; 15:27:00; 16:13:00; P; N
161; 2017-05-26; 11:23:00; 13:09:00; P; T
161; 2017-05-16; 13:54:00; 16:53:00; P; N
161; 2017-05-27; 17:20:00; 19:35:00; P; N
161; 2017-05-09; 13:29:00; 15:47:00; P; N
161; 2017-05-19; 14:32:00; 16:34:00; P; N
163; 2017-05-09; 15:59:00; 18:05:00; P; N
164; 2017-06-04; 16:19:00; 19:59:00; P; N
164; 2017-06-11; 17:59:00; 20:46:00; P; N
164; 2017-05-09; 14:54:00; 15:23:00; S; N
165; 2017-06-22; 11:23:00; 13:09:00; P; N
165; 2017-06-20; 11:50:00; 12:55:00; P; N
167; 2017-06-23; 17:59:00; 20:46:00; P; N
167; 2017-05-19; 17:59:00; 20:46:00; P; N
167; 2017-05-15; 14:01:00; 16:47:00; P; T
167; 2017-05-19; 12:18:00; 14:06:00; P; N
168; 2017-05-07; 15:51:00; 18:13:00; P; N
169; 2017-06-21; 08:07:00; 11:57:00; P; N
170; 2017-05-27; 17:20:00; 19:35:00; P; N
170; 2017-06-22; 14:40:00; 17:43:00; P; N
171; 2017-06-01; 14:54:00; 15:23:00; P; N
172; 2017-06-18; 08:54:00; 11:54:00; S; T
174; 2017-06-12; 09:41:00; 12:58:00; P; N
174; 2017-06-17; 12:08:00; 13:18:00; P; N
174; 2017-05-25; 17:20:00; 19:35:00; P; N
175; 2017-06-15; 08:55:00; 10:16:00; P; N
175; 2017-05-17; 15:51:00; 18:13:00; P; N
175; 2017-06-27; 11:23:00; 13:09:00; P; T
177; 2017-06-25; 16:41:00; 19:24:00; P; T
177; 2017-05-23; 09:37:00; 12:52:00; P; N
177; 2017-06-28; 15:27:00; 16:13:00; P; N
179; 2017-06-02; 08:54:00; 11:54:00; P; N
179; 2017-05-15; 13:46:00; 16:01:00; S; N
179; 2017-06-19; 17:43:00; 19:31:00; P; T
179; 2017-06-05; 12:18:00; 14:06:00; P; N
180; 2017-06-17; 15:59:00; 18:05:00; P; N
180; 2017-05-24; 13:31:00; 15:55:00; S; N
182; 2017-05-27; 16:52:00; 18:23:00; P; N
182; 2017-06-16; 17:00:00; 20:17:00; P; N
183; 2017-05-27; 11:23:00; 13:09:00; P; N
185; 2017-06-14; 17:43:00; 20:53:00; P; T
185; 2017-06-24; 17:20:00; 19:35:00; P; N
187; 2017-06-10; 09:58:00; 11:11:00; P; T
190; 2017-05-10; 13:44:00; 15:20:00; P; N
190; 2017-06-08; 08:46:00; 10:52:00; S; N
191; 2017-05-02; 14:40:00; 17:43:00; S; N
191; 2017-05-12; 14:32:00; 16:34:00; P; N
191; 2017-05-19; 16:14:00; 19:54:00; P; T
192; 2017-06-19; 14:32:00; 16:34:00; P; N
193; 2017-06-14; 16:41:00; 19:24:00; S; N
194; 2017-05-30; 12:32:00; 15:48:00; P; N
194; 2017-06-12; 13:35:00; 14:57:00; P; N
197; 2017-06-04; 13:16:00; 16:12:00; P; T
197; 2017-05-14; 13:29:00; 15:47:00; P; T
197; 2017-05-03; 16:40:00; 17:40:00; P; N
198; 2017-06-25; 13:29:00; 15:47:00; S; N
199; 2017-06-25; 12:37:00; 13:53:00; P; N
200; 2017-05-31; 08:46:00; 10:52:00; P; N
201; 2017-06-28; 14:54:00; 15:23:00; P; N
202; 2017-05-18; 08:54:00; 11:54:00; P; N
203; 2017-06-04; 13:44:00; 15:20:00; S; N
203; 2017-05-03; 12:37:00; 13:53:00; P; N
204; 2017-05-22; 09:58:00; 11:11:00; S; N
204; 2017-06-20; 13:38:00; 16:22:00; P; N
206; 2017-05-20; 11:23:00; 13:09:00; P; N
207; 2017-06-17; 12:37:00; 13:53:00; P; N
207; 2017-06-19; 09:06:00; 12:38:00; P; N
207; 2017-05-04; 12:18:00; 14:06:00; P; N
207; 2017-06-25; 13:16:00; 16:12:00; S; N
208; 2017-05-07; 11:50:00; 12:55:00; S; N
209; 2017-05-28; 15:27:00; 16:13:00; P; N
209; 2017-05-03; 09:37:00; 12:52:00; P; T
210; 2017-05-27; 15:51:00; 18:13:00; P; N
210; 2017-05-04; 08:54:00; 11:54:00; P; N
211; 2017-05-31; 17:59:00; 20:46:00; P; N
212; 2017-05-02; 12:32:00; 15:48:00; S; N
212; 2017-06-10; 10:04:00; 13:36:00; P; N
212; 2017-06-23; 14:54:00; 15:23:00; P; N
212; 2017-05-15; 13:35:00; 14:57:00; S; N
212; 2017-05-31; 13:38:00; 16:22:00; S; N
213; 2017-06-27; 16:41:00; 19:24:00; P; N
213; 2017-05-18; 15:59:00; 18:05:00; S; T
213; 2017-05-04; 13:31:00; 15:55:00; P; N
213; 2017-05-20; 13:54:00; 16:53:00; P; N
215; 2017-05-13; 13:16:00; 16:12:00; P; N
215; 2017-05-16; 16:40:00; 17:40:00; S; N
215; 2017-06-01; 08:42:00; 09:02:00; P; N
216; 2017-05-01; 15:51:00; 18:13:00; P; T
218; 2017-05-23; 08:54:00; 11:54:00; P; N
219; 2017-06-29; 08:41:00; 09:59:00; P; N
219; 2017-05-14; 08:42:00; 09:02:00; P; N
220; 2017-05-18; 16:19:00; 19:59:00; P; N
221; 2017-05-16; 08:07:00; 11:57:00; S; N
222; 2017-06-08; 09:17:00; 11:31:00; P; N
222; 2017-05-09; 13:44:00; 15:20:00; P; N
222; 2017-05-18; 16:51:00; 17:29:00; S; N
223; 2017-06-21; 14:04:00; 16:12:00; S; N
223; 2017-05-27; 10:31:00; 13:33:00; P; T
223; 2017-06-20; 16:18:00; 17:53:00; P; N
225; 2017-05-03; 12:01:00; 13:08:00; P; N
226; 2017-05-08; 16:51:00; 17:29:00; P; N
226; 2017-06-14; 10:53:00; 13:11:00; P; N
227; 2017-05-04; 09:41:00; 12:58:00; S; N
228; 2017-06-23; 10:51:00; 11:05:00; P; N
228; 2017-05-30; 10:57:00; 12:25:00; P; T
229; 2017-06-17; 10:31:00; 13:33:00; P; N
230; 2017-05-25; 15:51:00; 18:13:00; P; T
231; 2017-05-25; 14:04:00; 16:12:00; P; T
232; 2017-06-28; 13:16:00; 16:12:00; P; N
233; 2017-05-24; 09:06:00; 12:38:00; P; N
233; 2017-06-22; 13:38:00; 16:22:00; P; N
235; 2017-05-17; 12:01:00; 13:08:00; P; N
236; 2017-05-10; 17:43:00; 20:53:00; P; N
236; 2017-05-24; 13:54:00; 16:53:00; P; N
236; 2017-06-29; 12:01:00; 13:08:00; P; N
236; 2017-06-06; 09:06:00; 12:38:00; P; N
237; 2017-06-23; 11:50:00; 12:55:00; P; T
237; 2017-05-13; 13:46:00; 16:01:00; S; N
238; 2017-05-09; 10:57:00; 12:25:00; P; N
239; 2017-06-23; 14:01:00; 16:47:00; P; T
240; 2017-06-20; 13:44:00; 15:20:00; P; N
241; 2017-06-27; 15:27:00; 16:13:00; P; N
242; 2017-05-28; 15:27:00; 16:13:00; S; N
242; 2017-05-02; 09:41:00; 12:58:00; P; N
243; 2017-05-20; 10:57:00; 12:25:00; S; N
243; 2017-06-28; 15:51:00; 18:13:00; P; N
244; 2017-05-15; 08:54:00; 11:54:00; P; T
244; 2017-06-21; 08:41:00; 09:59:00; S; N
244; 2017-05-22; 08:42:00; 09:02:00; P; N
244; 2017-06-02; 09:58:00; 10:36:00; S; N
245; 2017-05-25; 08:54:00; 11:54:00; P; N
245; 2017-05-11; 10:53:00; 13:11:00; P; N
247; 2017-06-11; 11:41:00; 13:19:00; S; N
249; 2017-06-07; 09:41:00; 12:58:00; S; N
250; 2017-06-22; 12:01:00; 13:08:00; P; N
250; 2017-06-27; 17:45:00; 19:22:00; P; N
253; 2017-05-07; 13:44:00; 15:20:00; P; T
253; 2017-05-27; 09:37:00; 12:52:00; P; N
254; 2017-05-27; 13:29:00; 15:47:00; P; N
254; 2017-05-14; 09:29:00; 12:05:00; P; N
254; 2017-05-04; 13:16:00; 16:12:00; P; N
254; 2017-05-08; 13:31:00; 15:55:00; P; N
255; 2017-05-22; 10:57:00; 12:25:00; P; N
255; 2017-06-22; 14:54:00; 15:23:00; S; N
255; 2017-05-08; 14:54:00; 15:23:00; P; T
256; 2017-05-15; 11:23:00; 13:09:00; S; T
256; 2017-06-11; 12:01:00; 13:08:00; P; N
256; 2017-06-13; 17:20:00; 19:35:00; P; N
256; 2017-05-29; 15:51:00; 18:13:00; S; N
258; 2017-06-02; 15:59:00; 18:05:00; S; T
258; 2017-06-30; 13:46:00; 16:01:00; P; N
259; 2017-06-04; 13:31:00; 15:55:00; P; N
259; 2017-06-07; 10:53:00; 13:11:00; P; N
259; 2017-06-08; 13:31:00; 15:55:00; P; T
259; 2017-05-11; 09:06:00; 12:38:00; P; N
259; 2017-06-06; 10:39:00; 11:46:00; S; N
260; 2017-06-21; 13:44:00; 15:20:00; P; N
260; 2017-05-22; 16:41:00; 19:24:00; P; N
261; 2017-05-14; 09:58:00; 11:11:00; P; N
262; 2017-05-20; 10:04:00; 13:36:00; P; N
262; 2017-06-21; 17:59:00; 20:46:00; P; T
263; 2017-05-17; 12:08:00; 13:18:00; S; N
263; 2017-05-01; 10:57:00; 12:25:00; S; T
263; 2017-05-30; 12:08:00; 13:18:00; P; N
264; 2017-05-22; 13:31:00; 15:55:00; P; N
264; 2017-05-07; 13:46:00; 16:01:00; P; N
265; 2017-05-07; 17:43:00; 20:53:00; P; N
266; 2017-06-05; 17:59:00; 20:46:00; P; N
266; 2017-06-13; 13:35:00; 14:57:00; P; N
267; 2017-05-27; 13:29:00; 15:47:00; P; N
267; 2017-06-11; 11:50:00; 12:55:00; P; N
268; 2017-05-14; 13:31:00; 15:55:00; S; N
268; 2017-06-05; 09:41:00; 12:58:00; S; T
269; 2017-05-04; 13:31:00; 15:55:00; P; T
271; 2017-06-15; 13:54:00; 16:53:00; S; N
272; 2017-06-14; 16:41:00; 19:24:00; P; T
274; 2017-06-02; 15:59:00; 18:05:00; S; N
274; 2017-06-28; 11:41:00; 13:19:00; P; N
275; 2017-06-05; 09:58:00; 11:11:00; P; N
275; 2017-05-19; 12:01:00; 13:08:00; S; N
276; 2017-05-16; 09:47:00; 10:54:00; P; T
276; 2017-06-23; 15:59:00; 16:34:00; P; N
276; 2017-06-23; 09:58:00; 10:36:00; S; N
277; 2017-06-22; 16:19:00; 19:59:00; P; N
277; 2017-05-15; 16:51:00; 17:29:00; P; N
278; 2017-05-29; 13:38:00; 16:22:00; P; N
280; 2017-06-11; 11:41:00; 13:19:00; P; N
285; 2017-05-21; 10:57:00; 12:25:00; P; N
285; 2017-06-12; 14:01:00; 16:47:00; P; T
287; 2017-05-15; 10:53:00; 13:11:00; P; N
287; 2017-05-12; 11:41:00; 13:19:00; P; N
289; 2017-06-13; 09:58:00; 11:11:00; P; N
291; 2017-06-11; 12:32:00; 15:48:00; P; T
292; 2017-06-12; 17:20:00; 19:35:00; P; N
292; 2017-05-23; 09:29:00; 12:05:00; P; T
293; 2017-06-13; 09:58:00; 10:36:00; P; T
294; 2017-06-13; 15:59:00; 18:05:00; P; N
295; 2017-05-17; 15:59:00; 18:05:00; P; N
295; 2017-06-09; 10:53:00; 13:11:00; P; T
297; 2017-05-12; 09:58:00; 10:36:00; S; N
298; 2017-05-05; 16:14:00; 19:54:00; P; T
299; 2017-05-17; 12:18:00; 14:06:00; P; N
300; 2017-06-12; 11:41:00; 13:19:00; S; N
301; 2017-05-30; 12:18:00; 14:06:00; P; N
302; 2017-05-05; 10:04:00; 13:36:00; P; N
302; 2017-05-15; 08:07:00; 11:57:00; P; T
304; 2017-05-12; 16:51:00; 17:29:00; P; T
304; 2017-05-29; 13:31:00; 15:55:00; P; T
305; 2017-05-13; 09:37:00; 12:52:00; P; N
306; 2017-06-13; 14:40:00; 17:43:00; P; N
306; 2017-05-09; 14:40:00; 17:43:00; P; N
308; 2017-05-17; 17:45:00; 19:22:00; P; N
309; 2017-06-15; 08:55:00; 10:16:00; P; N
311; 2017-05-09; 16:14:00; 19:54:00; P; N
312; 2017-06-02; 09:58:00; 11:11:00; P; N
314; 2017-06-06; 17:43:00; 20:53:00; P; N
314; 2017-06-10; 10:57:00; 12:25:00; S; T
314; 2017-05-14; 10:31:00; 13:33:00; P; N
315; 2017-06-13; 09:29:00; 12:05:00; P; N
315; 2017-06-18; 16:52:00; 18:23:00; P; N
315; 2017-05-22; 14:40:00; 17:43:00; P; N
316; 2017-06-07; 08:42:00; 09:02:00; P; N
316; 2017-06-10; 12:37:00; 13:53:00; P; N
317; 2017-05-10; 16:52:00; 18:23:00; P; N
318; 2017-06-20; 08:41:00; 09:59:00; P; N
319; 2017-05-26; 13:35:00; 14:57:00; P; N
320; 2017-05-12; 09:17:00; 11:31:00; P; N
320; 2017-05-28; 14:04:00; 16:12:00; S; N
321; 2017-05-06; 09:17:00; 11:31:00; P; N
321; 2017-05-20; 08:54:00; 11:54:00; P; N
321; 2017-05-29; 09:37:00; 12:52:00; S; N
322; 2017-05-14; 17:20:00; 19:35:00; P; N
322; 2017-06-27; 15:27:00; 16:13:00; S; N
322; 2017-05-13; 09:58:00; 10:36:00; P; N
322; 2017-05-19; 10:31:00; 13:33:00; P; T
324; 2017-06-06; 14:01:00; 16:47:00; P; N
325; 2017-05-18; 13:35:00; 14:57:00; P; N
325; 2017-05-19; 15:59:00; 16:34:00; S; N
326; 2017-06-25; 14:01:00; 16:47:00; P; N
328; 2017-06-19; 17:45:00; 19:22:00; P; N
328; 2017-06-30; 08:54:00; 11:54:00; P; N
329; 2017-05-16; 16:19:00; 19:59:00; P; N
331; 2017-06-06; 08:07:00; 11:57:00; P; N
331; 2017-05-19; 13:16:00; 16:12:00; P; T
331; 2017-05-24; 15:59:00; 16:34:00; P; N
332; 2017-05-07; 11:23:00; 13:09:00; S; N
333; 2017-06-16; 09:29:00; 12:05:00; P; N
334; 2017-05-21; 09:37:00; 12:52:00; P; N
334; 2017-05-17; 12:32:00; 15:48:00; P; N
334; 2017-06-11; 09:29:00; 12:05:00; P; T
335; 2017-05-22; 13:29:00; 15:47:00; S; T
335; 2017-06-07; 09:41:00; 12:58:00; P; N
337; 2017-05-19; 08:42:00; 09:02:00; P; T
338; 2017-05-21; 13:54:00; 16:53:00; P; N
338; 2017-05-11; 09:17:00; 11:31:00; P; N
338; 2017-06-10; 09:58:00; 10:36:00; P; N
338; 2017-05-22; 14:54:00; 15:23:00; P; N
339; 2017-05-30; 09:58:00; 10:36:00; P; N
339; 2017-06-26; 16:41:00; 19:24:00; P; N
341; 2017-06-19; 14:54:00; 15:23:00; P; N
341; 2017-06-06; 08:42:00; 09:02:00; P; N
343; 2017-05-04; 17:43:00; 19:31:00; S; T
345; 2017-05-28; 16:41:00; 19:24:00; P; N
346; 2017-05-15; 11:50:00; 12:55:00; P; N
347; 2017-06-28; 09:58:00; 10:36:00; P; N
347; 2017-06-08; 08:42:00; 09:02:00; P; T
348; 2017-05-25; 09:58:00; 10:36:00; P; N
348; 2017-06-05; 16:40:00; 17:40:00; P; N
349; 2017-05-07; 16:14:00; 19:54:00; P; N
349; 2017-06-16; 16:41:00; 19:24:00; P; N
350; 2017-05-08; 14:32:00; 16:34:00; P; T
351; 2017-05-26; 16:52:00; 18:23:00; P; T
352; 2017-05-10; 08:07:00; 11:57:00; P; N
352; 2017-06-15; 09:17:00; 11:31:00; P; N
352; 2017-06-03; 13:46:00; 16:01:00; P; N
355; 2017-05-15; 17:43:00; 20:53:00; S; N
356; 2017-05-21; 10:51:00; 11:05:00; P; N
357; 2017-06-21; 08:41:00; 09:59:00; P; T
358; 2017-06-11; 17:20:00; 19:35:00; P; N
360; 2017-05-08; 10:57:00; 12:25:00; P; N
362; 2017-06-21; 13:54:00; 16:53:00; P; N
365; 2017-06-29; 17:45:00; 19:22:00; P; N
365; 2017-05-13; 09:31:00; 10:53:00; P; T
369; 2017-06-08; 08:42:00; 09:02:00; P; N
370; 2017-06-03; 09:06:00; 12:38:00; P; N
370; 2017-05-10; 15:27:00; 16:13:00; P; N
370; 2017-05-17; 10:57:00; 12:25:00; P; T
373; 2017-05-28; 09:58:00; 10:36:00; P; N
374; 2017-06-26; 16:41:00; 19:24:00; S; N
374; 2017-05-02; 16:18:00; 17:53:00; P; N
374; 2017-05-10; 09:17:00; 11:31:00; P; N
375; 2017-06-08; 10:31:00; 11:05:00; P; N
