Osoba; Kurs; Zaliczenie
5528; 2; 2016-08-05
5548; 2; 2016-02-22
5566; 2; 2016-01-25
5569; 2; 2016-09-07
5574; 2; 2015-12-28
5575; 2; 2016-01-13
5593; 2; 2015-10-23
5595; 2; 2016-04-11
5007; 3; 2016-04-18
5008; 3; 2015-12-21
5010; 3; 2016-01-04
5014; 3; 2016-02-19
5015; 3; 2016-03-25
5021; 3; 2016-05-09
5022; 3; 2016-02-12
5027; 3; 2016-09-16
5030; 3; 2016-08-26
5038; 3; 2015-10-15
5041; 3; 2016-06-23
5068; 3; 2016-02-19
5070; 3; 2016-03-18
5131; 3; 2016-02-29
5140; 3; 2016-02-12
5142; 3; 2016-05-13
5143; 3; 2016-02-05
5159; 3; 2016-01-19
5161; 3; 2016-04-11
5172; 3; 2015-11-30
5174; 3; 2016-06-15
5177; 3; 2016-03-24
5189; 3; 2016-02-16
5218; 3; 2016-01-25
5221; 3; 2015-10-23
5224; 3; 2016-05-03
5233; 3; 2015-11-06
5238; 3; 2016-03-18
5240; 3; 2015-10-21
5260; 3; 2016-04-13
5264; 3; 2016-02-26
5272; 3; 2016-09-07
5287; 3; 2016-03-02
5321; 3; 2016-10-26
5326; 3; 2016-09-21
5340; 3; 2015-12-30
5347; 3; 2016-04-07
5351; 3; 2016-01-11
5362; 3; 2016-07-21
5363; 3; 2016-06-13
5404; 3; 2016-05-09
5410; 3; 2016-06-30
5414; 3; 2016-03-14
5415; 3; 2016-06-27
5420; 3; 2016-06-23
5426; 3; 2016-03-03
5433; 3; 2016-07-20
5436; 3; 2016-09-30
5440; 3; 2016-03-04
5459; 3; 2016-10-24
5497; 3; 2016-06-27
5501; 3; 2016-04-22
5521; 3; 2016-03-14
5527; 3; 2016-07-06
5528; 3; 2016-06-02
5540; 3; 2016-04-22
5549; 3; 2016-07-21
5575; 3; 2016-08-12
5578; 3; 2016-04-25
5585; 3; 2015-11-09
5595; 3; 2015-11-18
5027; 4; 2015-12-23
5036; 4; 2015-12-15
5044; 4; 2016-03-21
5046; 4; 2015-12-28
5054; 4; 2016-04-08
5062; 4; 2016-04-11
5068; 4; 2016-01-14
5073; 4; 2016-10-31
5076; 4; 2015-12-04
5077; 4; 2016-07-18
5081; 4; 2016-06-14
5098; 4; 2016-06-27
5104; 4; 2016-06-17
5109; 4; 2016-06-03
5111; 4; 2016-08-01
5119; 4; 2016-06-21
5124; 4; 2016-08-26
5134; 4; 2015-10-19
5135; 4; 2016-08-02
5137; 4; 2016-06-23
5142; 4; 2015-12-29
5159; 4; 2016-02-12
5160; 4; 2016-02-01
5162; 4; 2016-10-19
5178; 4; 2016-06-20
5182; 4; 2016-10-20
5202; 4; 2016-06-13
5204; 4; 2016-10-03
5205; 4; 2015-11-24
5207; 4; 2016-03-21
5236; 4; 2016-10-20
5245; 4; 2016-02-19
5254; 4; 2015-10-20
5263; 4; 2016-07-12
5265; 4; 2016-01-25
5274; 4; 2015-12-28
5283; 4; 2016-01-14
5290; 4; 2016-11-01
5292; 4; 2016-03-04
5303; 4; 2016-09-05
5318; 4; 2016-04-27
5328; 4; 2016-01-11
5333; 4; 2016-01-27
5339; 4; 2016-05-03
5342; 4; 2016-10-19
5345; 4; 2016-06-21
5346; 4; 2016-02-10
5350; 4; 2016-10-14
5358; 4; 2016-09-16
5360; 4; 2016-04-20
5369; 4; 2016-07-14
5378; 4; 2016-06-24
5386; 4; 2016-10-28
5400; 4; 2016-05-09
5401; 4; 2015-12-25
5409; 4; 2015-12-18
5422; 4; 2015-11-06
5429; 4; 2016-10-27
5433; 4; 2016-08-23
5435; 4; 2016-10-24
5445; 4; 2016-05-06
5454; 4; 2016-09-26
5458; 4; 2016-03-31
5464; 4; 2016-04-14
5466; 4; 2016-07-08
5482; 4; 2016-05-06
5483; 4; 2015-10-29
5486; 4; 2016-07-07
5489; 4; 2016-01-15
5491; 4; 2016-07-25
5501; 4; 2015-11-16
5504; 4; 2016-04-11
5505; 4; 2016-10-03
5507; 4; 2016-04-07
5515; 4; 2016-08-05
5518; 4; 2016-07-08
5535; 4; 2016-01-11
5540; 4; 2015-11-02
5563; 4; 2015-11-25
5566; 4; 2016-02-17
5583; 4; 2016-08-15
5586; 4; 2016-06-13
5593; 4; 2016-05-02
5594; 4; 2015-10-26
5008; 5; 2016-09-02
5014; 5; 2016-04-27
5046; 5; 2016-04-14
5054; 5; 2016-01-19
5058; 5; 2016-10-13
5061; 5; 2016-09-16
5067; 5; 2016-05-18
5068; 5; 2016-01-05
5071; 5; 2016-02-12
5078; 5; 2015-10-15
5079; 5; 2016-01-27
5084; 5; 2016-01-27
5088; 5; 2016-01-29
5089; 5; 2016-07-15
5096; 5; 2016-06-29
5109; 5; 2016-01-04
5111; 5; 2016-08-31
5114; 5; 2016-06-21
5121; 5; 2016-06-30
5141; 5; 2016-06-08
5152; 5; 2016-10-03
5157; 5; 2016-10-28
5158; 5; 2016-07-07
5163; 5; 2016-03-09
5179; 5; 2016-08-08
5182; 5; 2016-09-09
5183; 5; 2015-12-21
5192; 5; 2016-10-21
5202; 5; 2016-07-21
5216; 5; 2016-03-07
5217; 5; 2016-09-23
5223; 5; 2016-05-26
5225; 5; 2016-03-16
5230; 5; 2016-10-11
5254; 5; 2016-03-07
5258; 5; 2016-10-21
5265; 5; 2016-01-11
5273; 5; 2016-06-10
5274; 5; 2016-08-26
5297; 5; 2016-05-05
5308; 5; 2016-01-27
5317; 5; 2016-04-22
5328; 5; 2016-07-06
5334; 5; 2016-02-22
5339; 5; 2016-08-16
5342; 5; 2016-10-03
5344; 5; 2016-11-02
5348; 5; 2015-12-11
5353; 5; 2016-10-21
5360; 5; 2016-03-14
5368; 5; 2016-10-19
5371; 5; 2016-07-06
5373; 5; 2016-08-15
5377; 5; 2015-12-23
5380; 5; 2016-10-27
5383; 5; 2016-08-01
5384; 5; 2016-02-09
5393; 5; 2016-04-25
5411; 5; 2016-01-11
5416; 5; 2016-02-11
5418; 5; 2015-12-18
5426; 5; 2016-07-22
5428; 5; 2016-07-22
5433; 5; 2016-02-15
5437; 5; 2016-10-25
5457; 5; 2016-07-28
5464; 5; 2016-04-27
5474; 5; 2016-10-04
5477; 5; 2016-07-08
5498; 5; 2015-10-14
5501; 5; 2016-03-08
5502; 5; 2015-12-21
5505; 5; 2015-10-22
5522; 5; 2016-11-16
5534; 5; 2016-08-29
5541; 5; 2016-07-18
5547; 5; 2016-05-23
5550; 5; 2016-10-26
5566; 5; 2015-12-09
5575; 5; 2016-05-11
5577; 5; 2016-09-09
5586; 5; 2016-08-08
5006; 6; 2016-10-26
5017; 6; 2016-08-10
5030; 6; 2016-04-22
5040; 6; 2016-03-04
5044; 6; 2016-07-25
5066; 6; 2016-03-07
5071; 6; 2016-08-26
5084; 6; 2016-10-21
5101; 6; 2016-01-07
5106; 6; 2016-02-19
5114; 6; 2016-10-06
5115; 6; 2015-11-26
5126; 6; 2016-05-05
5132; 6; 2016-06-17
5140; 6; 2015-11-06
5144; 6; 2016-10-12
5146; 6; 2016-09-13
5152; 6; 2016-11-10
5159; 6; 2016-02-01
5160; 6; 2016-08-18
5184; 6; 2016-04-28
5185; 6; 2016-09-21
5191; 6; 2016-01-05
5199; 6; 2016-11-14
5216; 6; 2016-04-13
5231; 6; 2016-07-06
5233; 6; 2016-01-11
5235; 6; 2015-11-04
5240; 6; 2016-03-18
5241; 6; 2016-10-04
5252; 6; 2016-01-26
5278; 6; 2016-03-18
5282; 6; 2016-05-27
5299; 6; 2016-02-25
5313; 6; 2016-03-24
5319; 6; 2015-10-27
5321; 6; 2016-10-17
5322; 6; 2016-10-14
5334; 6; 2016-05-23
5343; 6; 2016-07-15
5344; 6; 2016-09-26
5353; 6; 2016-01-26
5354; 6; 2016-02-03
5356; 6; 2016-09-07
5357; 6; 2015-10-16
5363; 6; 2015-12-18
5370; 6; 2015-11-25
5372; 6; 2016-03-10
5374; 6; 2016-02-16
5391; 6; 2015-11-12
5396; 6; 2016-10-14
5399; 6; 2016-04-11
5400; 6; 2016-04-29
5424; 6; 2016-04-22
5427; 6; 2016-05-02
5434; 6; 2016-03-04
5436; 6; 2016-01-28
5438; 6; 2016-10-28
5442; 6; 2016-05-06
5456; 6; 2016-04-18
5460; 6; 2016-04-25
5467; 6; 2016-05-11
5473; 6; 2015-11-13
5489; 6; 2016-03-28
5490; 6; 2016-09-12
5494; 6; 2016-10-31
5508; 6; 2016-06-02
5509; 6; 2015-11-23
5512; 6; 2015-11-16
5527; 6; 2016-01-01
5555; 6; 2016-06-27
5571; 6; 2015-10-14
5590; 6; 2016-01-08
5596; 6; 2016-11-04
5031; 7; 2016-06-09
5035; 7; 2016-06-23
5042; 7; 2016-02-08
5061; 7; 2016-04-18
5063; 7; 2016-08-01
5088; 7; 2016-06-10
5105; 7; 2016-01-14
5115; 7; 2016-05-16
5118; 7; 2015-11-17
5150; 7; 2015-12-24
5177; 7; 2015-11-26
5190; 7; 2016-06-17
5196; 7; 2015-10-26
5214; 7; 2016-09-22
5224; 7; 2016-03-07
5236; 7; 2015-12-08
5240; 7; 2016-02-26
5245; 7; 2016-02-02
5266; 7; 2016-03-15
5267; 7; 2016-04-22
5273; 7; 2015-12-11
5280; 7; 2015-12-18
5286; 7; 2016-02-08
5303; 7; 2016-06-22
5329; 7; 2016-06-16
5334; 7; 2016-02-15
5335; 7; 2015-11-23
5341; 7; 2016-01-14
5342; 7; 2016-10-07
5352; 7; 2016-02-05
5383; 7; 2016-11-11
5385; 7; 2015-10-16
5401; 7; 2015-12-21
5415; 7; 2016-09-01
5420; 7; 2016-05-13
5434; 7; 2016-11-01
5450; 7; 2016-03-04
5462; 7; 2016-03-11
5473; 7; 2016-01-26
5485; 7; 2016-04-12
5497; 7; 2016-09-05
5502; 7; 2016-09-29
5522; 7; 2016-04-29
5564; 7; 2016-02-05
5565; 7; 2016-07-08
5570; 7; 2016-08-10
5576; 7; 2016-07-01
5595; 7; 2016-03-18
5006; 8; 2016-03-18
5011; 8; 2015-11-27
5018; 8; 2016-01-22
5020; 8; 2016-05-13
5022; 8; 2016-03-10
5051; 8; 2016-10-21
5053; 8; 2016-04-13
5055; 8; 2016-10-07
5056; 8; 2016-01-15
5068; 8; 2016-09-06
5083; 8; 2016-06-27
5091; 8; 2016-05-13
5093; 8; 2016-06-06
5103; 8; 2015-12-14
5113; 8; 2016-04-06
5126; 8; 2016-08-04
5129; 8; 2016-02-26
5134; 8; 2016-02-22
5145; 8; 2016-03-23
5151; 8; 2015-12-17
5152; 8; 2016-04-14
5167; 8; 2016-06-20
5171; 8; 2015-12-21
5172; 8; 2016-05-30
5175; 8; 2016-09-29
5185; 8; 2015-11-06
5186; 8; 2015-11-10
5189; 8; 2016-06-20
5194; 8; 2016-09-09
5210; 8; 2015-10-30
5219; 8; 2016-08-24
5227; 8; 2016-10-21
5229; 8; 2015-12-14
5236; 8; 2016-07-29
5247; 8; 2015-12-04
5251; 8; 2016-06-06
5254; 8; 2016-01-22
5262; 8; 2016-04-04
5264; 8; 2016-04-18
5265; 8; 2016-03-14
5268; 8; 2015-12-22
5277; 8; 2016-09-13
5284; 8; 2016-11-16
5285; 8; 2016-08-19
5286; 8; 2015-12-08
5296; 8; 2016-06-21
5299; 8; 2015-12-04
5348; 8; 2015-11-25
5357; 8; 2016-06-24
5372; 8; 2016-04-18
5377; 8; 2015-11-23
5384; 8; 2016-09-09
5393; 8; 2016-04-19
5394; 8; 2015-12-21
5422; 8; 2016-07-19
5426; 8; 2016-06-07
5435; 8; 2015-11-24
5438; 8; 2015-12-11
5455; 8; 2016-05-13
5461; 8; 2016-05-30
5464; 8; 2015-10-26
5471; 8; 2016-01-27
5482; 8; 2016-03-14
5485; 8; 2016-06-29
5490; 8; 2016-11-15
5506; 8; 2016-02-15
5536; 8; 2015-12-02
5544; 8; 2016-09-15
5545; 8; 2016-03-15
5551; 8; 2015-11-23
5556; 8; 2016-10-13
5563; 8; 2016-01-11
5574; 8; 2016-04-01
5585; 8; 2015-11-13
5592; 8; 2015-12-16
5020; 9; 2016-10-14
5039; 9; 2016-03-10
5055; 9; 2016-02-02
5057; 9; 2016-07-19
5066; 9; 2015-10-21
5067; 9; 2016-01-29
5099; 9; 2016-09-14
5100; 9; 2016-03-01
5103; 9; 2016-03-28
5105; 9; 2015-11-02
5149; 9; 2016-01-08
5153; 9; 2016-05-30
5162; 9; 2016-09-21
5182; 9; 2016-06-14
5191; 9; 2016-02-22
5193; 9; 2016-08-23
5202; 9; 2016-09-14
5204; 9; 2016-06-13
5211; 9; 2015-12-14
5222; 9; 2016-01-26
5225; 9; 2016-06-30
5232; 9; 2016-10-18
5233; 9; 2016-10-03
5237; 9; 2016-07-22
5242; 9; 2016-04-07
5256; 9; 2016-07-22
5258; 9; 2016-01-22
5259; 9; 2016-05-09
5269; 9; 2016-02-05
5271; 9; 2015-11-25
5278; 9; 2015-12-07
5286; 9; 2016-10-24
5292; 9; 2015-11-09
5300; 9; 2015-10-16
5305; 9; 2016-03-21
5320; 9; 2016-05-13
5331; 9; 2016-04-05
5343; 9; 2016-10-17
5358; 9; 2016-09-16
5369; 9; 2016-06-22
5370; 9; 2015-10-20
5372; 9; 2016-10-24
5383; 9; 2016-08-02
5385; 9; 2016-09-23
5393; 9; 2016-01-12
5397; 9; 2016-07-07
5403; 9; 2015-10-26
5409; 9; 2016-10-27
5411; 9; 2016-05-16
5412; 9; 2016-08-12
5416; 9; 2015-11-30
5423; 9; 2016-10-05
5434; 9; 2016-09-09
5438; 9; 2016-06-02
5447; 9; 2016-01-27
5474; 9; 2016-04-22
5475; 9; 2016-04-01
5477; 9; 2016-06-07
5483; 9; 2016-05-16
5485; 9; 2016-09-19
5505; 9; 2016-03-15
5506; 9; 2015-11-20
5510; 9; 2016-10-07
5524; 9; 2015-12-21
5544; 9; 2016-11-15
5552; 9; 2016-01-26
5557; 9; 2016-08-01
5560; 9; 2016-02-12
5571; 9; 2016-09-02
5576; 9; 2016-07-19
5581; 9; 2016-05-19
5015; 10; 2016-10-11
5016; 10; 2016-08-15
5032; 10; 2015-11-02
5033; 10; 2016-01-06
5034; 10; 2016-10-18
5040; 10; 2016-10-31
5045; 10; 2016-04-15
5047; 10; 2016-04-13
5050; 10; 2016-06-20
5055; 10; 2015-12-17
5060; 10; 2016-05-05
5069; 10; 2015-10-28
5075; 10; 2016-02-12
5084; 10; 2016-06-03
5104; 10; 2016-05-12
5113; 10; 2015-11-30
5122; 10; 2016-02-12
5126; 10; 2016-05-20
5140; 10; 2016-01-26
5149; 10; 2016-03-11
5160; 10; 2015-12-16
5202; 10; 2016-08-22
5205; 10; 2016-03-18
5225; 10; 2016-04-22
5233; 10; 2016-09-15
5238; 10; 2016-09-15
5248; 10; 2016-10-05
5249; 10; 2016-09-26
5250; 10; 2016-08-09
5257; 10; 2016-01-25
5268; 10; 2016-02-25
5269; 10; 2016-07-22
5274; 10; 2016-04-19
5278; 10; 2016-03-31
5288; 10; 2016-07-11
5292; 10; 2016-08-26
5295; 10; 2016-08-25
5297; 10; 2016-09-16
5300; 10; 2016-08-02
5301; 10; 2016-06-07
5302; 10; 2016-09-28
5311; 10; 2015-12-14
5314; 10; 2015-12-07
5320; 10; 2016-06-24
5358; 10; 2016-01-21
5362; 10; 2015-11-09
5365; 10; 2016-10-14
5368; 10; 2016-09-09
5373; 10; 2016-11-14
5382; 10; 2016-02-05
5384; 10; 2015-10-20
5392; 10; 2016-06-10
5393; 10; 2015-10-21
5402; 10; 2016-06-10
5403; 10; 2016-03-09
5409; 10; 2016-07-25
5412; 10; 2016-10-21
5431; 10; 2016-02-01
5441; 10; 2016-07-15
5445; 10; 2016-10-28
5457; 10; 2016-10-25
5463; 10; 2016-10-27
5479; 10; 2016-04-14
5481; 10; 2016-05-06
5484; 10; 2016-01-22
5487; 10; 2016-04-14
5493; 10; 2016-05-05
5494; 10; 2015-12-07
5496; 10; 2016-07-18
5507; 10; 2016-08-03
5515; 10; 2016-01-25
5539; 10; 2016-09-05
5544; 10; 2016-07-04
5546; 10; 2016-03-18
5557; 10; 2016-04-01
5559; 10; 2016-01-04
5578; 10; 2016-04-07
5008; 11; 2016-07-04
5019; 11; 2016-01-05
5020; 11; 2016-08-08
5023; 11; 2016-01-20
5046; 11; 2016-10-03
5051; 11; 2016-06-09
5057; 11; 2016-04-26
5079; 11; 2016-01-15
5082; 11; 2016-04-22
5102; 11; 2016-02-16
5117; 11; 2015-10-15
5120; 11; 2016-06-03
5123; 11; 2016-01-27
5129; 11; 2015-12-29
5159; 11; 2016-03-02
5162; 11; 2015-11-06
5180; 11; 2016-08-25
5183; 11; 2016-05-09
5184; 11; 2016-01-04
5190; 11; 2016-04-04
5196; 11; 2015-11-06
5200; 11; 2016-06-06
5207; 11; 2016-04-19
5210; 11; 2016-02-22
5229; 11; 2016-08-26
5246; 11; 2016-09-27
5255; 11; 2016-07-22
5259; 11; 2016-03-18
5261; 11; 2016-03-04
5268; 11; 2016-07-06
5281; 11; 2016-03-21
5291; 11; 2015-11-02
5297; 11; 2016-05-30
5326; 11; 2016-07-01
5333; 11; 2016-08-12
5365; 11; 2016-03-14
5366; 11; 2016-06-10
5370; 11; 2016-09-08
5376; 11; 2015-11-12
5391; 11; 2016-03-14
5411; 11; 2016-02-02
5428; 11; 2016-05-09
5432; 11; 2016-07-11
5433; 11; 2016-04-11
5455; 11; 2016-05-16
5462; 11; 2016-04-18
5470; 11; 2016-01-20
5491; 11; 2016-10-19
5495; 11; 2016-09-30
5509; 11; 2016-05-26
5512; 11; 2016-02-22
5514; 11; 2016-11-10
5524; 11; 2016-08-15
5525; 11; 2015-10-28
5540; 11; 2016-06-13
5543; 11; 2015-11-06
5546; 11; 2016-04-11
5567; 11; 2016-04-21
5596; 11; 2016-04-13
5010; 12; 2016-09-09
5023; 12; 2016-11-07
5024; 12; 2016-03-11
5025; 12; 2016-09-27
5029; 12; 2016-10-28
5033; 12; 2016-09-27
5035; 12; 2016-10-21
5042; 12; 2016-04-29
5047; 12; 2015-11-04
5054; 12; 2016-06-30
5057; 12; 2016-02-01
5062; 12; 2016-07-25
5070; 12; 2016-10-26
5076; 12; 2015-12-18
5078; 12; 2016-03-14
5098; 12; 2016-04-11
5099; 12; 2015-11-06
5104; 12; 2016-04-20
5113; 12; 2016-08-29
5117; 12; 2015-11-02
5121; 12; 2016-01-01
5133; 12; 2016-06-06
5148; 12; 2016-06-24
5149; 12; 2015-10-26
5152; 12; 2015-11-27
5159; 12; 2016-04-04
5163; 12; 2016-07-22
5167; 12; 2016-08-30
5173; 12; 2016-01-05
5187; 12; 2016-01-11
5193; 12; 2016-03-16
5197; 12; 2016-01-01
5199; 12; 2015-12-04
5202; 12; 2015-11-06
5213; 12; 2016-08-26
5215; 12; 2016-08-26
5239; 12; 2016-01-08
5247; 12; 2016-03-17
5270; 12; 2016-07-29
5275; 12; 2016-11-03
5279; 12; 2016-05-02
5282; 12; 2016-10-21
5288; 12; 2016-03-25
5304; 12; 2016-11-14
5314; 12; 2016-07-11
5332; 12; 2016-04-04
5339; 12; 2016-01-20
5348; 12; 2016-09-12
5361; 12; 2015-10-21
5363; 12; 2016-02-02
5364; 12; 2016-10-19
5365; 12; 2016-05-17
5374; 12; 2016-09-23
5379; 12; 2016-09-02
5386; 12; 2016-08-05
5387; 12; 2016-10-13
5395; 12; 2016-03-15
5401; 12; 2016-08-03
5407; 12; 2016-05-06
5409; 12; 2016-05-12
5431; 12; 2016-01-11
5433; 12; 2015-12-25
5438; 12; 2016-05-12
5446; 12; 2016-08-23
5447; 12; 2016-02-02
5451; 12; 2016-05-27
5452; 12; 2015-10-29
5454; 12; 2016-09-12
5476; 12; 2016-09-12
5481; 12; 2015-11-23
5487; 12; 2015-12-21
5503; 12; 2016-03-09
5511; 12; 2016-02-29
5515; 12; 2015-11-12
5521; 12; 2016-06-09
5523; 12; 2015-11-16
5529; 12; 2016-08-23
5532; 12; 2016-03-10
5542; 12; 2016-09-15
5558; 12; 2015-11-27
5575; 12; 2016-05-06
5576; 12; 2016-06-23
5590; 12; 2016-03-07
5592; 12; 2016-03-28
5020; 13; 2015-11-30
5021; 13; 2016-10-10
5023; 13; 2016-05-23
5029; 13; 2016-01-08
5030; 13; 2016-03-21
5044; 13; 2015-11-20
5045; 13; 2016-04-12
5055; 13; 2015-11-02
5057; 13; 2016-10-31
5067; 13; 2016-05-24
5080; 13; 2015-11-12
5089; 13; 2016-02-04
5093; 13; 2016-06-27
5106; 13; 2016-01-25
5117; 13; 2016-07-06
5132; 13; 2016-09-26
5142; 13; 2016-09-30
5156; 13; 2016-09-14
5165; 13; 2016-08-09
5167; 13; 2015-11-02
5174; 13; 2016-07-29
5178; 13; 2016-05-20
5184; 13; 2016-10-10
5186; 13; 2016-04-01
5196; 13; 2015-12-11
5214; 13; 2016-06-01
5238; 13; 2016-03-28
5242; 13; 2016-11-16
5245; 13; 2016-09-21
5248; 13; 2016-10-31
5252; 13; 2016-01-26
5255; 13; 2016-02-01
5257; 13; 2016-08-17
5262; 13; 2016-02-18
5265; 13; 2016-01-15
5274; 13; 2016-08-29
5284; 13; 2016-07-11
5287; 13; 2015-12-07
5289; 13; 2016-06-24
5291; 13; 2016-10-26
5320; 13; 2015-12-17
5346; 13; 2015-11-02
5355; 13; 2015-10-16
5359; 13; 2016-04-22
5376; 13; 2016-06-14
5385; 13; 2015-11-04
5387; 13; 2016-02-19
5390; 13; 2016-11-07
5397; 13; 2016-06-16
5398; 13; 2016-08-15
5410; 13; 2015-12-02
5419; 13; 2016-03-11
5427; 13; 2016-10-17
5447; 13; 2016-07-04
5463; 13; 2016-02-02
5483; 13; 2016-03-21
5493; 13; 2016-03-09
5495; 13; 2016-04-08
5500; 13; 2016-02-12
5502; 13; 2016-07-26
5508; 13; 2015-12-11
5509; 13; 2016-06-23
5523; 13; 2015-11-06
5531; 13; 2015-12-25
5532; 13; 2016-05-20
5545; 13; 2015-11-12
5549; 13; 2016-04-27
5561; 13; 2016-04-19
5563; 13; 2016-02-16
5564; 13; 2016-04-14
5570; 13; 2016-07-04
5572; 13; 2016-09-23
5574; 13; 2016-02-15
5582; 13; 2015-10-23
5585; 13; 2016-06-16
5593; 13; 2016-06-30
5006; 14; 2015-12-18
5008; 14; 2015-12-16
5022; 14; 2016-01-22
5036; 14; 2016-08-10
5043; 14; 2015-10-30
5055; 14; 2016-07-27
5056; 14; 2016-08-31
5058; 14; 2016-08-17
5061; 14; 2016-07-11
5066; 14; 2015-10-16
5070; 14; 2016-07-25
5081; 14; 2016-03-31
5103; 14; 2016-03-24
5116; 14; 2016-01-25
5120; 14; 2016-09-09
5123; 14; 2016-10-12
5127; 14; 2015-12-17
5144; 14; 2015-11-17
5146; 14; 2016-10-05
5156; 14; 2016-02-01
5161; 14; 2016-08-05
5164; 14; 2015-11-06
5169; 14; 2016-07-08
5179; 14; 2016-08-15
5183; 14; 2016-05-09
5186; 14; 2015-10-26
5190; 14; 2015-10-15
5191; 14; 2016-03-07
5204; 14; 2016-08-26
5212; 14; 2016-10-28
5214; 14; 2016-07-29
5221; 14; 2016-01-18
5222; 14; 2016-01-26
5230; 14; 2016-10-07
5234; 14; 2016-04-06
5243; 14; 2015-12-07
5248; 14; 2016-08-04
5249; 14; 2016-10-24
5251; 14; 2015-12-04
5252; 14; 2016-06-23
5255; 14; 2015-11-06
5260; 14; 2016-09-21
5268; 14; 2016-02-09
5271; 14; 2016-11-01
5276; 14; 2016-02-15
5278; 14; 2016-07-22
5285; 14; 2016-08-11
5294; 14; 2015-10-19
5302; 14; 2016-01-04
5307; 14; 2016-11-10
5315; 14; 2016-03-11
5318; 14; 2016-10-20
5322; 14; 2016-02-16
5324; 14; 2016-10-21
5326; 14; 2016-06-20
5327; 14; 2015-10-30
5367; 14; 2016-04-29
5380; 14; 2016-10-28
5385; 14; 2016-06-27
5398; 14; 2016-04-25
5401; 14; 2016-05-05
5416; 14; 2016-05-11
5417; 14; 2016-06-10
5427; 14; 2015-12-21
5430; 14; 2015-12-10
5436; 14; 2016-03-25
5449; 14; 2016-08-02
5450; 14; 2016-06-24
5451; 14; 2016-10-07
5473; 14; 2016-08-01
5476; 14; 2016-02-01
5477; 14; 2016-01-19
5479; 14; 2016-05-02
5487; 14; 2016-03-04
5504; 14; 2016-01-29
5506; 14; 2015-10-16
5509; 14; 2016-02-22
5515; 14; 2016-01-06
5521; 14; 2016-11-15
5528; 14; 2016-09-20
5557; 14; 2016-10-21
5561; 14; 2016-05-26
5565; 14; 2016-07-19
5571; 14; 2016-09-30
5579; 14; 2016-06-10
5584; 14; 2016-08-08
5589; 14; 2016-11-16
5084; 15; 2016-03-22
5104; 15; 2016-07-15
5108; 15; 2016-02-12
5109; 15; 2016-05-04
5115; 15; 2016-10-07
5123; 15; 2016-04-01
5126; 15; 2015-11-30
5129; 15; 2016-10-21
5145; 15; 2015-12-15
5250; 15; 2016-09-23
5268; 15; 2016-07-07
5273; 15; 2016-01-12
