numer rejestracyjny;Punkt A;Punkt B
RZE7144;0,29541;0,299198
EOP7868;0,743781;0,747197
EP37557;0,51572;0,51716
EPA8924;0,214673;0,217745
EPD1467;0,905685;0,907857
ETM257F;0,453993;0,452185
EWE4423;0,650217;0,646353
EWI961D;0,174453;0,176009
NWE1882;0,140041;0,141617
GTC6032;0,862217;0,859949
NOE1810;0,507331;0,510719
CBR1005;0,896052;0,894644
STA5802;0,549495;0,546755
FSW8833;0,068551;0,065271
BLM550S;0,069554;0,067586
RPZ6117;0,852238;0,848498
FGW7916;0,447749;0,451573
NKE9304;0,841363;0,838819
BSU7002;0,206274;0,203698
BMN6560;0,534043;0,530979
DJE4167;0,520197;0,522549
NBR3345;0,464613;0,461553
KBR5778;0,949282;0,947058
EPA8924;0,629963;0,626367
RTA5016;0,765977;0,762125
WPZ8966;0,659051;0,662879
NEL2373;0,881793;0,879581
LZA7235;0,961884;0,958412
WZW7144;0,551709;0,549657
GSZ9176;0,555168;0,556824
DSR1552;0,507998;0,505806
WZU5215;0,290106;0,293006
NGI7942;0,888069;0,885341
WSZ3763;0,290084;0,293988
ELW4637;0,53885;0,53549
CZN4614;0,462983;0,459231
CCH2234;0,007619;0,003867
OPO5592;0,836248;0,832376
WKZ1364;0,506386;0,502634
ZBI683A;0,303909;0,301281
KWI7049;0,934843;0,938791
CBY9249;0,74358;0,745844
WPY7337;0,89885;0,901302
BSI3245;0,591338;0,593834
WSI3602;0,333036;0,335848
ZWA67SA;0,406959;0,405187
CIN2517;0,048376;0,044812
NNI5982;0,931476;0,93534
ZSZ97CD;0,807452;0,803984
CWA4963;0,904269;0,901105
GCZ6717;0,35201;0,354738
FZA9218;0,392476;0,395836
FWS1238;0,426659;0,422783
NMR7567;0,807975;0,805291
SWD1063;0,797166;0,800534
NLI1232;0,844401;0,842941
RPR8482;0,647521;0,644689
WSC9512;0,618941;0,616493
SRB970D;0,807326;0,804082
TSK8689;0,366592;0,368896
BSE248P;0,700568;0,70312
WSE1444;0,621524;0,61756
EOP7868;0,005778;0,00179
EWI961D;0,078622;0,076166
CTR7456;0,314112;0,317172
WY58670;0,917325;0,915529
NIL3535;0,569162;0,56643
CTU1210;0,44656;0,449212
SRS2013;0,619779;0,621611
WZY9176;0,357341;0,355101
NDZ6132;0,313584;0,317444
CGD8150;0,515827;0,513999
TST606F;0,336086;0,332198
CSW4471;0,601535;0,598487
NPI2072;0,528524;0,524944
LUB9718;0,521502;0,517926
DKA1443;0,553557;0,555645
GBY2123;0,613652;0,61106
NSZ8448;0,353449;0,357181
FZI8967;0,315402;0,313986
NEB9600;0,205589;0,207129
NOL4507;0,870647;0,873611
CG97781;0,065493;0,068885
KWA6482;0,323612;0,319888
WPU705O;0,930407;0,933283
RNI2447;0,220352;0,2168
EBE7309;0,584587;0,588339
ELE4598;0,553678;0,550546
GWE660D;0,343033;0,344601
NGO9410;0,489694;0,486258
DZL5538;0,515418;0,518474
EPD1467;0,139958;0,142914
WO182CT;0,605652;0,6083
RZE7144;0,517347;0,515335
WRA7205;0,482578;0,480354
CGR5488;0,42967;0,426546
TSA2570;0,271982;0,26879
EZG9571;0,97139;0,975058
BL96936;0,784575;0,787059
TSZ4505;0,647643;0,649191
RRS3699;0,44351;0,446222
DPL8260;0,182429;0,180929
KBC3869;0,699542;0,701602
RMI3407;0,796183;0,797995
LWL5004;0,456841;0,453225
EBR2763;0,515756;0,51722
DKL3952;0,983724;0,985876
KTT2196;0,371348;0,374724
FSU1902;0,692073;0,689205
EWE4423;0,283231;0,284871
CAL4310;0,188394;0,191078
EZD788M;0,093123;0,090423
POB1989;0,979741;0,983685
NBA1025;0,409332;0,411292
GDA2515;0,395259;0,391275
NOG3903;0,300278;0,304078
FZG8877;0,5643;0,5618
STY3028;0,192581;0,189345
SRC6856;0,660622;0,658346
ETM257F;0,856064;0,852164
GCH864N;0,936036;0,939636
BSK5990;0,560098;0,558086
FSL6199;0,986076;0,982804
WSK6080;0,31277;0,315046
NOL4507;0,668796;0,672004
NNM3913;0,26135;0,263414
CWL381S;0,657829;0,655653
CLI5630;0,804511;0,802579
DST6471;0,422498;0,424186
WK95525;0,496595;0,494703
WW85062;0,038954;0,040722
LB56852;0,978692;0,975064
CT31774;0,37815;0,380086
LU68482;0,93395;0,93237
RZE7144;0,56462;0,56224
PO13340;0,638022;0,642002
WW20137;0,74747;0,744874
WL49978;0,638094;0,635766
CB96618;0,305099;0,308195
DB79091;0,230732;0,227012
WI3373K;0,649602;0,651402
EP37557;0,649085;0,650825
FG41856;0,460805;0,464013
FZ46305;0,864314;0,862802
SB16521;0,552707;0,555231
OP99731;0,411618;0,409274
CW78453;0,150914;0,149274
RT86483;0,927525;0,924241
ST19923;0,891805;0,894521
WW8829E;0,949305;0,951001
WS87052;0,9947;0,996984
SC21037;0,924736;0,921876
WR41039;0,343604;0,345912
SZ51491;0,039157;0,041877
SW39699;0,708733;0,712205
WW50312;0,617435;0,619203
WX21908;0,753914;0,756742
BS62755;0,924647;0,927243
DL33730;0,130032;0,132528
SR84334;0,525906;0,528234
CT1893N;0,603425;0,605105
GD23556;0,012241;0,016217
WZ23965;0,132585;0,134109
GA77712;0,449553;0,447237
NE78145;0,113997;0,117621
SY38147;0,777538;0,774814
WJ87174;0,825823;0,827547
RP20247;0,208419;0,212231
LZ36064;0,395685;0,392317
WU95639;0,019333;0,016733
WT96288;0,378748;0,382492
NO84797;0,727628;0,73022
WA22592;0,6927;0,690436
NBA102A;0,905734;0,907898
NBR3345;0,376137;0,373297
NDZ6132;0,352136;0,353844
NE78145;0,247169;0,244461
NEB9600;0,649184;0,647028
NEL2373;0,368472;0,364732
NGI7942;0,154274;0,151698
NGO9410;0,673135;0,675779
NIL3535;0,9716;0,969
NKE9304;0,331857;0,333629
NLI1232;0,947239;0,949383
NMR7567;0,062723;0,066119
NNI5982;0,781743;0,784163
NNM3913;0,179935;0,176031
NO84797;0,297536;0,300764
NOE1810;0,984607;0,981887
NOG3903;0,783653;0,786097
NOL4507;0,169961;0,172141
NOL4507;0,400312;0,40276
NPI2072;0,255462;0,258422
NSZ8448;0,334134;0,331126
NWE1882;0,832898;0,829822
NBA1025;0,273877;0,271065
NBR3345;0,820848;0,818144
NDZ6132;0,438624;0,436876
NE78145;0,93975;0,941962
NEB9600;0,275888;0,277388
NEL2373;0,72039;0,722634
NGI7942;0,198152;0,200896
NGO9410;0,727199;0,728771
NIL3535;0,717983;0,715855
NKE9304;0,742444;0,739792
NLI1232;0,166557;0,168625
NMR7567;0,138625;0,141145
NNI5982;0,794505;0,791845
NNM3913;0,973508;0,971452
NO84797;0,4303;0,432728
NOE1810;0,421731;0,425011
NOG3903;0,611243;0,615191
NOL4507;0,482006;0,485122
NOL4507;0,751845;0,754617
NPI2072;0,986816;0,988576
NSZ8448;0,225889;0,224385
NWE1882;0,090769;0,093213
NMR7567;0,761152;0,759388
NNI5982;0,615743;0,612979
NNM3913;0,672663;0,676651
NO84799;0,457823;0,455755
NOE1810;0,854371;0,851655
NOG3903;0,598598;0,595206
NMR7567;0,395344;0,393472
NNI5982;0,811751;0,815495
NNM3913;0,57271;0,57501
NO84797;0,817775;0,814067
NOE1810;0,729627;0,727295
NOG3903;0,20138;0,197932
NMR7567;0,309731;0,313719
NNI5982;0,908527;0,906903
NNM3913;0,03376;0,035316
NO84797;0,973039;0,974647
NOE1810;0,143223;0,146963
NOG3903;0,878703;0,875667
NMR7567;0,785625;0,782685
NNI5982;0,862376;0,866032
NNM3913;0,959342;0,957582
NO84797;0,743167;0,746515
NOE1810;0,7447;0,748156
NOG3903;0,744249;0,746717
NO84797;0,245144;0,242704
NOE1810;0,954782;0,95157
NOG3903;0,199418;0,201918
NO84797;0,446937;0,443209
NOE1810;0,136495;0,139319
NOG3903;0,863254;0,867022
NO84797;0,023812;0,020456
NOE1810;0,135812;0,139392
NOG3903;0,602362;0,606062
RZE7144;0,749113;0,745757
RZE7144;0,32229;0,31961
RZE7144;0,258998;0,262306
RZE7144;0,160087;0,157171
EOP7868;0,345938;0,344314
EP37557;0,040057;0,041741
EPA8924;1,002396;0,998772
EPD1467;0,096156;0,097768
ETM257F;0,829419;0,826915
EWE4423;0,920619;0,922931
EWI961D;0,669418;0,667774
NWE1882;0,312445;0,310225
GTC6032;0,161962;0,16371
NOE1810;0,04006;0,038204
CBR1005;0,710891;0,713119
STA5802;0,172735;0,170815
FSW8833;0,894421;0,891097
BLM550S;0,039071;0,042567
RPZ6117;0,039606;0,037274
FGW7916;0,912382;0,914294
NKE9304;0,438199;0,439987
BSU7002;0,188942;0,186422
BMN6560;0,631273;0,634417
DJE4167;0,056969;0,054597
NBR3345;0,129272;0,126008
KBR5778;0,090899;0,093719
EPA8924;0,776792;0,775288
RTA5016;0,94622;0,948376
WPZ8966;0,262909;0,264473
NEL2373;0,997883;0,999483
LZA7235;0,961671;0,959251
WZW7144;0,5035;0,50676
GSZ9176;0,355049;0,358705
DSR1552;0,932578;0,929802
WZU5215;0,344651;0,347607
NGI7942;0,164145;0,162321
WSZ3763;0,522049;0,524209
ELW4637;0,394773;0,391409
CZN4614;0,130696;0,134684
CCH2234;0,108847;0,105555
OPO5592;0,62104;0,623452
WKZ1364;0,915269;0,918385
ZBI196E;0,398575;0,400679
KWI7049;0,672043;0,673451
CBY9249;0,035966;0,037982
WPY7337;0,514571;0,512627
BSI3245;0,923041;0,920677
WSI3602;0,141952;0,139256
ZWA215K;0,832403;0,830759
CIN2517;0,676799;0,678943
NNI5982;0,335408;0,339052
ZSZ29GR;0,711159;0,707763
CWA4963;0,711887;0,715611
GCZ6717;0,403043;0,399339
FZA9218;0,90539;0,907618
FWS1238;0,232645;0,235897
NMR7567;0,231638;0,23317
SWD1063;0,534156;0,535604
NLI1232;0,761816;0,759608
RPR8482;0,148512;0,146448
WSC9512;0,231432;0,227592
SRB970D;0,860035;0,857795
TSK8689;0,574158;0,572194
BSE248P;0,10882;0,104932
WSE1444;0,724115;0,727643
EOP7868;0,459281;0,455493
EWI961D;0,991722;0,994902
CTR7456;0,901733;0,905613
WY58670;0,990751;0,988807
NIL3535;0,712945;0,716229
CTU1210;0,257818;0,255946
SRS2013;0,086955;0,085379
WZY9176;0,351007;0,352463
NDZ6132;0,825953;0,829177
CGD8150;0,558544;0,554624
TST606F;0,215901;0,217981
CSW4471;0,859155;0,857167
NPI2072;0,674462;0,67789
LUB9718;0,479248;0,47626
DKA1443;0,518317;0,521473
GBY2123;0,693488;0,690936
NSZ8448;0,145533;0,148553
FZI8967;0,948669;0,950569
NEB9600;0,614926;0,612838
NOL4507;0,800924;0,799104
CG97781;0,808923;0,806979
KWA6482;0,026913;0,029257
WPU705O;0,843842;0,845642
RNI2447;0,818737;0,820593
EBE7309;0,778097;0,775249
ELE4598;0,836496;0,839096
GWE660D;0,638638;0,64251
NGO9410;0,438804;0,435784
DZL5538;0,204137;0,201841
EPD1467;0,887889;0,883893
PK18222;0,967287;0,970791
RZE7144;0,121395;0,124755
WRA7205;0,058614;0,056474
CGR5488;0,795592;0,792188
TSA2570;0,635368;0,639208
EZG9571;0,29478;0,298048
BL96936;0,312112;0,314508
TSZ4505;0,022316;0,019544
RRS3699;0,65989;0,65681
DPL8260;0,751814;0,749254
KBC3869;0,694612;0,698512
RMI3407;0,217417;0,215721
LWL5004;0,248913;0,252041
EBR2763;0,095534;0,09191
DKL3952;0,560215;0,561967
KTT2196;0,098788;0,09668
FSU1902;0,66767;0,67011
EWE4423;0,699164;0,700584
CAL4310;0,50449;0,502982
EZD788M;0,709128;0,706332
POB1989;0,254712;0,257904
NBA102S;0,523838;0,52655
GDA2515;0,091436;0,093964
NOG3903;0,404277;0,407593
FZG8877;0,112906;0,11459
STY3028;0,950772;0,947796
SRC6856;0,374113;0,372493
ETM257F;0,43324;0,431356
GCH864N;0,169924;0,166296
BSK5990;0,218423;0,215067
FSL6199;0,492419;0,495163
WSK6080;0,739957;0,743385
NOL4507;0,198873;0,196909
NNM3913;0,820107;0,822335
CWL381S;0,837498;0,835994
CLI5630;0,710985;0,708769
DST6471;0,024252;0,022828
WK95525;0,490612;0,488004
WW85062;0,683026;0,680758
LB56852;0,383748;0,386464
CT31774;0,051858;0,055254
LU68482;0,569901;0,572197
RZE7144;0,448673;0,450093
PO13340;0,808593;0,806297
WW20137;0,824208;0,827688
WL49978;0,063481;0,066905
CB96618;0,890782;0,892394
DB79091;0,541617;0,537629
WI3373K;0,053295;0,050727
EP37557;0,066353;0,063589
FG189FK;0,920089;0,923829
FZ46305;0,160262;0,164166
SB16521;0,022994;0,025886
OP99731;0,676971;0,675547
CW78453;0,788989;0,787333
RT86483;0,946055;0,943147
ST19923;0,284361;0,286385
WW8829E;0,902348;0,899436
WS87052;0,85301;0,850598
SC21037;0,242935;0,245931
WR41039;0,804313;0,800781
SZ51491;0,738356;0,739832
SW39699;0,471628;0,468208
WW50312;0,727774;0,724874
WX21908;0,425484;0,427272
BS62755;0,841912;0,844416
DL33730;0,844061;0,846921
SR84334;0,714682;0,71811
CB187BL;0,148141;0,144505
GD23556;0,76903;0,765034
WZ23965;0,364794;0,367258
GA77712;0,53641;0,533062
NE78145;0,382383;0,380647
SY38147;0,47501;0,479002
WJ87174;0,725286;0,726998
RP20247;0,585478;0,58823
LZ36064;0,374158;0,375778
WU95639;0,853362;0,856306
WT96288;0,872264;0,868884
NO84797;0,421784;0,424804
WA22592;0,717013;0,713653
NBA1025;0,029825;0,033637
NBR3345;0,267554;0,266042
NDZ6132;0,184341;0,188037
NE78145;0,559348;0,556192
NEB9600;0,303484;0,301828
NEL2373;0,250316;0,248904
NGI7942;0,070146;0,06633
NGO9410;0,066769;0,069177
NIL3535;0,425489;0,427021
NKE9304;0,678008;0,679824
NLI1232;0,760984;0,759316
NMR7567;0,203124;0,204928
NNI5982;0,552377;0,553769
NNM3913;0,184863;0,181919
NO84797;0,154847;0,152063
NOE1810;0,194591;0,196183
NOG3903;0,363853;0,365853
NOL4507;0,333266;0,329286
NOL4507;0,757904;0,75648
NPI2072;0,408875;0,406527
NSZ8448;0,440725;0,438293
NWE1882;0,640208;0,643336
NBA102B;0,890406;0,888886
NBR3345;0,256603;0,258711
NDZ6132;0,122706;0,118814
NE78145;0,58027;0,582994
NEB9600;0,918388;0,915484
NEL2373;0,540363;0,543071
NGI7942;0,455371;0,457887
NGO9410;0,919826;0,917754
NIL3535;0,22966;0,232468
NKE9304;0,552094;0,54861
NLI1232;0,558307;0,554787
NMR7567;0,333769;0,331113
NNI5982;0,570734;0,567042
NNM3913;0,739747;0,742963
NO8479C;0,83426;0,836968
NOE1810;0,53818;0,539676
NOG3903;0,583873;0,582025
NOL4507;0,552882;0,556282
NOL4507;0,294576;0,292016
NPI2072;0,713849;0,710653
NSZ8448;0,405204;0,402604
NWE1882;0,59559;0,597874
NMR7567;0,566838;0,562954
NNI5982;0,101677;0,099405
NNM3913;0,803373;0,799829
NO84797;0,57133;0,574154
NOE1810;0,332694;0,336678
NOG3903;0,235088;0,23294
NMR7567;0,36631;0,362998
NNI5982;0,526463;0,523167
NNM3913;0,935138;0,936982
NO84797;0,734133;0,731893
NOE1810;0,848944;0,846668
NOG3903;0,387678;0,38923
NMR7567;0,048844;0,051992
NNI5982;0,446404;0,4481
NNM3913;0,563856;0,560572
NO84797;0,489716;0,492728
NOE1810;0,955727;0,953323
NOG3903;0,731622;0,734686
NMR7567;0,351255;0,349383
NNI5982;0,709533;0,712857
NNM3913;0,54807;0,544422
NO84797;0,906599;0,908287
NOE1810;0,525751;0,524111
NOG3903;0,114372;0,116748
NO84797;0,084323;0,080867
NOE1810;0,126341;0,122433
NOG3903;0,445078;0,448346
NO84797;0,012021;0,013877
NOE1810;0,186155;0,184187
NOG3903;0,052546;0,050362
NO84797;0,332636;0,328836
NOE1810;0,821365;0,824737
NOG3903;0,519907;0,523319
RZE7144;0,193798;0,19087
RZE7144;0,522106;0,523606
RZE7144;0,079268;0,081592
RZE7144;0,290101;0,292001
EOP7868;0,762318;0,759522
EP37557;0,027099;0,022927
EPA8924;0,977611;0,980511
EPD1467;0,855384;0,858276
ETM257F;0,083104;0,080136
EWE4423;0,398232;0,400164
EWI961D;0,885293;0,882057
BL5582G;0,100374;0,098186
BLM8782;0,58142;0,584768
BMN3894;0,791046;0,788658
BS31698;0,532315;0,528755
BSE7433;0,688388;0,692172
BSI7235;0,281197;0,277657
BSK586A;0,997434;0,994294
BSU5919;0,782126;0,779918
CAL2064;0,193879;0,191755
CB95132;0,236111;0,237971
CBR5883;0,122076;0,124604
CBY5051;0,590567;0,588483
CCH7924;0,417905;0,415773
CG59243;0,738995;0,741307
CGD5776;0,359362;0,357866
CGR1261;0,220692;0,218588
CIN3593;0,051676;0,053148
CLI7557;0,645945;0,649501
CSW8524;0,013843;0,011911
CT68312;0,817774;0,821538
CTR9653;0,494046;0,492494
CTU8578;0,628566;0,631602
CW37343;0,622046;0,62413
CWA131O;0,655912;0,65336
CWL3378;0,68479;0,68873
CZN3150;0,817113;0,818965
DB58025;0,407681;0,403825
DJE2824;0,326622;0,328746
DKA9237;0,291389;0,293441
DKL5927;0,155655;0,151727
DL55328;0,889043;0,886583
DPL8275;0,642819;0,640619
DSR2326;0,920846;0,924014
DST4194;0,217991;0,215323
DZL6373;0,096703;0,094675
EBE7668;0,04918;0,045276
EBR4237;0,51215;0,508546
ELE6198;0,568247;0,569931
ELW6064;0,831307;0,829571
EOP1476;0,162349;0,159421
EP89410;0,669654;0,665894
EPA1590;0,885238;0,88203
EPD160N;0,130144;0,133712
ETM8116;0,308182;0,305214
EWE4571;0,529331;0,532107
EWI2309;0,031983;0,035731
EZD9842;0,119934;0,11671
EZG5773;0,867239;0,864347
FG0951N;0,017892;0,014028
FGW6941;0,298897;0,296673
FSL518H;0,423147;0,419211
FSU7573;0,537449;0,538953
FSW5992;0,241826;0,23921
FWS226P;0,744708;0,746412
FZ17044;0,83007;0,826706
FZA9954;0,038924;0,037212
FZG4304;0,346945;0,350313
FZI4964;0,766585;0,763181
GA40781;0,12286;0,120788
GBY6936;0,294947;0,293119
GCH6872;0,3278;0,325832
GCZ2644;0,71818;0,714916
GD56329;0,579276;0,581512
GDA2835;0,552227;0,550759
GSZ6990;0,301085;0,299101
GTC7381;0,277881;0,280553
GWE7036;0,261075;0,257411
KBC2269;0,692979;0,695003
KBR7936;0,05172;0,054052
KTT8835;0,403704;0,402132
KWA9676;0,560043;0,556615
KWI9178;0,746949;0,744813
LB1414G;0,207838;0,206226
LU35521;0,255234;0,257862
LUB1054;0,724818;0,722098
LWL7458;0,66598;0,663936
LZ94980;0,759651;0,762723
LZA7617;0,726722;0,72447
NBA7692;0,380894;0,377074
NBR9068;0,343464;0,346044
NDZ3838;0,068135;0,070363
NE43232;0,0339;0,032156
NEB4258;0,541229;0,543509
NEL2042;0,347918;0,350962
NGI3330;0,431591;0,433247
NGO2477;0,257804;0,25446
NIL3535;0,057469;0,054021
NKE9304;0,930741;0,928553
NLI1794;0,926319;0,922907
NMR424I;0,532664;0,534856
NNI6370;0,881125;0,877373
NNM9579;0,906107;0,907967
NO33338;0,523573;0,525761
NOE8398;0,620612;0,623772
NOG4844;0,474542;0,470714
NOL5089;0,943901;0,942281
NOS9404;0,90643;0,909722
NPI201N;0,344642;0,34695
NSZ1891;0,29603;0,292302
NWE5330;0,20542;0,201748
OB94491;0,082901;0,084425
OP67817;0,667764;0,664248
OPO3720;0,008227;0,010375
PK16514;0,167096;0,16858
PO36336;0,466858;0,47053
POB6651;0,589291;0,591811
RMI7902;0,049029;0,052521
RNI3021;0,817546;0,814446
RP5592K;0,097457;0,099601
RPR3058;0,260156;0,257264
RPZ5906;0,780901;0,778217
RRS3368;0,721836;0,723304
RT43110;0,624628;0,626828
RTA4619;0,553144;0,55516
RZE7144;0,489941;0,493113
RZE7144;0,755738;0,752926
SB68800;0,956812;0,953748
SC32502;0,609267;0,606251
SR1985M;0,486245;0,488573
SRB024S;0,633112;0,634676
SRC187N;0,714253;0,716173
