LP,Data_przybycia,Nr_IMO,Bandera,Nabrzeze
221,2016/02/03,8919221,AG,REGALICA
222,2016/02/04,9313802,NL,PRZEMYSLOWE
223,2016/02/04,9167320,CY,SLOWACKIE
224,2016/02/04,9143788,GI,SLOWACKIE
225,2016/02/04,8509002,CY,HUTA (KRA)
226,2016/02/05,9140944,NO,BULGARSKIE
227,2016/02/05,8504208,DE,SNOP N
228,2016/02/05,9411783,NL,HUTA (KRA)
229,2016/02/05,9452610,BS,SLOWACKIE
230,2016/02/05,9454802,AG,BULGARSKIE
231,2016/02/05,9404065,AG,FINSKIE
232,2016/02/05,6519302,PL,REMONTOWE
233,2016/02/05,9173563,NO,SNOP N
234,2016/02/05,9116008,AG,REGALICA
235,2016/02/06,9219874,NL,FINSKIE
236,2016/02/06,7704057,PL,CAL
237,2016/02/06,7615749,PL,SPOLDZIELCZE
238,2016/02/06,9392391,PA,HUTA (KRA)
239,2016/02/07,9218222,BS,GORNOSLASKIE
240,2016/02/07,9501875,AG,KASZUBSKIE
241,2016/02/07,9201803,NL,SLOWACKIE
242,2016/02/07,9617337,CY,REGALICA
243,2016/02/07,9341782,NL,WALBRZYSKIE
244,2016/02/07,8905892,AG,SLOWACKIE
245,2016/02/08,8404458,VU,HOLENDERSKIE
246,2016/02/08,9177882,AG,BYTOMSKIE
247,2016/02/08,9411769,NL,ANGIELSKIE
248,2016/02/08,8023527,DK,FOSFATOWE DALBY
249,2016/02/08,9248370,CY,HUTA (KRA)
250,2016/02/08,9106584,LT,SNOP S
251,2016/02/08,9313797,NL,HUTA (KRA)
252,2016/02/08,9423669,NL,SNOP S
253,2016/02/08,9411745,NL,GORNOSLASKIE
254,2016/02/09,9346691,NL,SNOP N
255,2016/02/09,9287699,MT,FINSKIE
256,2016/02/09,8222185,AG,OKO
257,2016/02/09,8918708,NL,WEGIERSKIE
258,2016/02/09,9187928,GI,SLOWACKIE
259,2016/02/09,9360996,CY,CZESKIE
260,2016/02/10,9171101,CY,GLIWICKIE
261,2016/02/10,8616245,DE,MAZOWIECKIE
262,2016/02/10,9344320,PT,PARNICKIE
263,2016/02/10,9399404,NL,SLOWACKIE
264,2016/02/10,8407711,CY,MAK
265,2016/02/10,7704057,PL,CAL
266,2016/02/11,9433365,AG,GLIWICKIE
267,2016/02/11,9549607,RU,BULGARSKIE
268,2016/02/11,8419611,RU,RUMUNSKIE
269,2016/02/11,9128336,GI,GLIWICKIE
270,2016/02/11,7504926,PL,PRCIP
271,2016/02/11,8870839,RU,KATOWICKIE
272,2016/02/11,9423657,NL,SLOWACKIE
273,2016/02/11,8919221,AG,DRZETOWSKIE N
274,2016/02/11,9479943,NL,SNOP S
275,2016/02/11,7704057,PL,CAL
276,2016/02/11,9142643,AG,BULGARSKIE
277,2016/02/12,9219874,NL,CZESKIE
278,2016/02/12,9341782,NL,CHORZOWSKIE
279,2016/02/12,9349186,AG,FINSKIE
280,2016/02/12,8713653,CY,ARSENAL
281,2016/02/12,7615749,PL,FARBOLAK SWFIL
282,2016/02/12,9229544,NL,ODRA STARE
283,2016/02/12,8402577,AG,OKO
284,2016/02/12,8611192,AG,WULKAN S
285,2016/02/12,8205187,AG,SNOP S
286,2016/02/12,7382677,BB,WALBRZYSKIE
287,2016/02/12,8404446,BE,BELGIJSKIE
288,2016/02/12,9427524,DK,FOSFATOWE DALBY
289,2016/02/13,9165308,AG,CZESKIE
290,2016/02/13,9555321,RU,SLOWACKIE
291,2016/02/13,9660592,PA,SLOWACKIE
292,2016/02/13,9345714,RU,SLOWACKIE
293,2016/02/13,9290048,AG,CHORZOWSKIE
294,2016/02/13,7641475,PL,CAL
295,2016/02/13,9279408,NL,REGALICA
296,2016/02/13,9081344,BB,PARNICKIE
297,2016/02/14,8918459,BB,HUTA (KRA)
298,2016/02/14,9341768,NL,CZESKIE
299,2016/02/14,7704057,PL,CAL
300,2016/02/14,8881723,RU,BULGARSKIE
301,2016/02/15,9433377,NL,KATOWICKIE
302,2016/02/15,9192650,AG,ODRA NOWE
303,2016/02/15,9344320,PT,PARNICKIE
304,2016/02/15,8504179,AG,HUTA (KRA)
305,2016/02/15,9631072,NL,GORNOSLASKIE
306,2016/02/15,9424546,LR,ARSENAL
307,2016/02/15,9148166,AG,FOSFATOWE
308,2016/02/15,9501655,AG,KATOWICKIE
309,2016/02/15,9341782,NL,WALBRZYSKIE
310,2016/02/15,8877253,KN,SNOP S
311,2016/02/15,9411745,NL,BULGARSKIE
312,2016/02/15,9148192,CY,GORNOSLASKIE
313,2016/02/16,8320585,DM,POLSKIE
314,2016/02/16,9057238,NL,SNOP N
315,2016/02/16,9171060,AG,HUTA (KRA)
316,2016/02/16,9462744,NL,ANGIELSKIE
317,2016/02/16,9231846,AG,FINSKIE
318,2016/02/16,8813972,NO,BULGARSKIE
319,2016/02/16,9534274,AG,BULGARSKIE
320,2016/02/16,9390109,AG,HUTA (KRA)
321,2016/02/16,8905115,DE,POZNANSKIE
322,2016/02/17,9637143,CY,KATOWICKIE
323,2016/02/17,9285122,BS,DRZETOWSKIE N
324,2016/02/17,9083885,CY,BYTOMSKIE
325,2016/02/17,9223423,NL,ANGIELSKIE
326,2016/02/17,9360996,CY,FINSKIE
327,2016/02/17,7615749,PL,SPOLDZIELCZE
328,2016/02/17,7704057,PL,CAL
329,2016/02/18,9219874,NL,CZESKIE
330,2016/02/18,9066045,RU,POZNANSKIE
331,2016/02/18,9136096,BE,CZESKIE
332,2016/02/18,9559092,NL,GORNOSLASKIE
333,2016/02/18,9125047,AG,GLIWICKIE
334,2016/02/19,9518268,NL,GORNOSLASKIE
335,2016/02/19,8211629,CK,BYTOMSKIE
336,2016/02/19,8321656,DK,MAZOWIECKIE
337,2016/02/19,9544932,NL,PRZEMYSLOWE
338,2016/02/19,9333541,NL,SLOWACKIE
339,2016/02/19,9364136,NL,KATOWICKIE
340,2016/02/19,9113599,RU,BULGARSKIE
341,2016/02/19,9341782,NL,WALBRZYSKIE
342,2016/02/19,9404065,AG,FINSKIE
343,2016/02/19,8222185,AG,HUTA (KRA)
344,2016/02/19,9085455,BE,PARNICKIE
345,2016/02/19,9011519,NO,HUTA (KRA)
346,2016/02/20,8913485,BB,WALBRZYSKIE
347,2016/02/20,9191955,AG,SNOP S
348,2016/02/20,9434046,AG,BYTOMSKIE
349,2016/02/20,9256420,CY,PARNICKIE
350,2016/02/20,8919221,AG,DRZETOWSKIE N
351,2016/02/20,8873025,RU,BYTOMSKIE
352,2016/02/20,8918734,NL,WEGIERSKIE
353,2016/02/20,9579391,HK,CHORZOWSKIE
354,2016/02/20,9124419,MT,GORNOSLASKIE
355,2016/02/21,8129395,FO,GLIWICKIE
356,2016/02/21,8719097,FO,REMONTOWE
357,2016/02/21,9505314,GI,HOLENDERSKIE
358,2016/02/21,9434759,AG,BELGIJSKIE
359,2016/02/21,7615749,PL,SPOLDZIELCZE
360,2016/02/21,9658355,MH,CPN III
361,2016/02/21,9361366,NL,CEMENTOWE
362,2016/02/22,8919855,AG,SLOWACKIE
363,2016/02/22,9122227,AG,CZESKIE
364,2016/02/22,9155872,FI,HUTA (KRA)
365,2016/02/22,7615749,PL,SPOLDZIELCZE
366,2016/02/22,9558012,GB,KATOWICKIE
367,2016/02/22,9114763,MT,FARBOLAK SWFIL
368,2016/02/23,9341782,NL,PIRS E
369,2016/02/23,8321656,DK,MAZOWIECKIE
370,2016/02/23,9219460,GI,CZESKIE
371,2016/02/23,8714841,DE,POZNANSKIE
372,2016/02/23,9313694,AG,GDANSKIE
373,2016/02/23,9130212,GI,GLIWICKIE
374,2016/02/23,8211629,CK,DRZETOWSKIE N
375,2016/02/23,7615749,PL,SPOLDZIELCZE
376,2016/02/24,9548304,NL,PARNICKIE
377,2016/02/24,9287699,MT,FINSKIE
378,2016/02/24,8300327,PA,BULGARSKIE
379,2016/02/24,9201968,NL,REGALICA
380,2016/02/24,7704057,PL,CAL
381,2016/02/24,9148166,AG,PRZEMYSLOWE
382,2016/02/24,9119634,DE,GLIWICKIE
383,2016/02/24,8511029,DE,BELGIJSKIE
384,2016/02/25,7615749,PL,FARBOLAK SWFIL
385,2016/02/25,9360996,CY,FINSKIE
386,2016/02/25,8321656,DK,MAZOWIECKIE
387,2016/02/25,9100138,NO,RUMUNSKIE
388,2016/02/25,9555333,RU,REGALICA
389,2016/02/25,7641475,PL,CAL
390,2016/02/25,8813972,NO,BULGARSKIE
391,2016/02/25,9066069,PA,BULGARSKIE
392,2016/02/25,9313814,NL,KATOWICKIE
393,2016/02/25,9361366,NL,CEMENTOWE
394,2016/02/25,8922266,BS,PARNICKIE
395,2016/02/25,9219874,NL,CZESKIE
396,2016/02/26,7615749,PL,FARBOLAK SWFIL
397,2016/02/26,8919221,AG,DRZETOWSKIE N
398,2016/02/26,9142631,NL,HUTA (KRA)
399,2016/02/26,7704057,PL,KATOWICKIE
400,2016/02/26,9318034,MT,GDYNSKIE S
401,2016/02/26,8609931,LV,KATOWICKIE
402,2016/02/26,7615749,PL,FARBOLAK SWFIL
403,2016/02/26,9336696,DK,FOSFATOWE DALBY
404,2016/02/27,9349186,AG,FINSKIE
405,2016/02/27,9305362,PT,PARNICKIE
406,2016/02/27,9376775,AG,KATOWICKIE
407,2016/02/28,9368209,RU,BULGARSKIE
408,2016/02/28,9114763,MT,FOSFATOWE DALBY
409,2016/02/28,9177882,AG,DRZETOWSKIE N
410,2016/02/28,9518414,AG,GORNOSLASKIE
411,2016/02/28,9010814,BS,GDANSKIE
412,2016/02/28,8407228,DE,HUTA (KRA)
413,2016/02/28,9267704,NL,BYTOMSKIE
414,2016/02/28,9136096,BE,ANGIELSKIE
415,2016/02/28,9312705,AG,HUTA (KRA)
416,2016/02/29,6605448,PL,WARSZTATOWE
417,2016/02/29,7704057,PL,CAL
418,2016/02/29,7810222,CY,GLIWICKIE
419,2016/02/29,8881711,RU,GORNOSLASKIE
420,2016/02/29,8919221,AG,DRZETOWSKIE N
421,2016/02/29,7615749,PL,FARBOLAK SWFIL
422,2016/03/01,9391000,NO,HUTA (KRA)
423,2016/03/01,9195676,BS,BYTOMSKIE
424,2016/03/01,9341782,NL,PRZEMYSLOWE
425,2016/03/01,9119622,RU,BULGARSKIE
426,2016/03/01,9345362,BE,HOLENDERSKIE
427,2016/03/01,8611013,AG,SNOP N
428,2016/03/01,9231846,AG,FINSKIE
429,2016/03/01,8104541,AG,GLIWICKIE
430,2016/03/02,9211066,CY,KATOWICKIE
431,2016/03/02,9364136,NL,HUTA (KRA)
432,2016/03/02,9462744,NL,ANGIELSKIE
433,2016/03/02,9148166,AG,SNOP S
434,2016/03/02,9201839,NL,REMONTOWE
435,2016/03/03,9190262,CY,CZESKIE
436,2016/03/03,9381809,TR,SNOP N
437,2016/03/03,9534262,LR,BULGARSKIE
438,2016/03/03,8420098,DE,POZNANSKIE
439,2016/03/03,9434046,AG,BYTOMSKIE
440,2016/03/03,7924401,AG,SNOP N
441,2016/03/03,8912481,FI,FOSFATOWE
442,2016/03/03,8919221,AG,DRZETOWSKIE N
443,2016/03/03,7704057,PL,SNOP N
444,2016/03/03,8605478,BS,HOLENDERSKIE
445,2016/03/03,9219874,NL,FINSKIE
446,2016/03/04,9136101,BE,ANGIELSKIE
447,2016/03/04,9106912,AG,REGALICA
448,2016/03/04,9404065,AG,CZESKIE
449,2016/03/04,7937965,PL,DRZETOWSKIE S
450,2016/03/04,8412417,VC,HUTA (KRA)
451,2016/03/05,9360996,CY,FINSKIE
452,2016/03/05,9555333,RU,GLIWICKIE
453,2016/03/05,9154268,CY,SLOWACKIE
454,2016/03/05,9140970,CY,BULGARSKIE
455,2016/03/05,8702252,RU,FOSFATOWE
456,2016/03/05,7704057,PL,CAL
457,2016/03/06,8919855,AG,SLOWACKIE
458,2016/03/06,9240732,VC,GORNOSLASKIE
459,2016/03/06,7641475,PL,CAL
460,2016/03/06,8511029,DE,POZNANSKIE
461,2016/03/06,8320585,DM,POLSKIE
462,2016/03/06,8873087,RU,BULGARSKIE
463,2016/03/06,9374387,GI,GLIWICKIE
464,2016/03/06,9244087,CH,KATOWICKIE
465,2016/03/06,9150535,MT,BYTOMSKIE
466,2016/03/06,9369526,GI,PARNICKIE
467,2016/03/06,9374703,NL,CZESKIE
468,2016/03/06,8402589,PA,CZESKIE
469,2016/03/07,9610341,CH,PARNICKIE
470,2016/03/07,9487603,MT,RUMUNSKIE
471,2016/03/07,9044932,CY,SNOP S
472,2016/03/07,9514913,NL,SNOP S
473,2016/03/07,8918734,NL,WEGIERSKIE
474,2016/03/07,9552082,AG,SLOWACKIE
475,2016/03/07,9190171,GI,BULGARSKIE
476,2016/03/07,7382500,BB,BULGARSKIE
477,2016/03/08,9360477,PT,REGALICA
478,2016/03/08,9313864,NL,PARNICKIE
479,2016/03/08,9578751,AG,BELGIJSKIE
480,2016/03/08,9173214,MT,SNOP S
481,2016/03/08,9341782,NL,PIRS E
482,2016/03/08,9571404,HK,CHORZOWSKIE
483,2016/03/08,9315006,NL,FINSKIE
484,2016/03/09,7704057,PL,DRZETOWSKIE S
485,2016/03/09,9356488,NL,ANGIELSKIE
486,2016/03/09,9313785,NL,GLIWICKIE
487,2016/03/09,9633006,SG,KATOWICKIE
488,2016/03/09,9340477,PH,KATOWICKIE - DALBY
489,2016/03/09,7615749,PL,SPOLDZIELCZE
490,2016/03/09,8403545,VC,WULKAN N
491,2016/03/10,9462744,NL,SNOP S
492,2016/03/10,9119634,DE,REGALICA
493,2016/03/10,8400050,BS,BULGARSKIE
494,2016/03/10,8008450,MT,MAZOWIECKIE
495,2016/03/10,9219874,NL,FINSKIE
496,2016/03/10,9063885,BS,HUTA (KRA)
497,2016/03/10,8407711,CY,ARSENAL
498,2016/03/10,8919221,AG,DRZETOWSKIE N
499,2016/03/11,9518402,AG,CZESKIE
500,2016/03/11,7615749,PL,SPOLDZIELCZE
501,2016/03/11,9346550,RU,BULGARSKIE
502,2016/03/11,9434541,HK,CPN III
503,2016/03/11,9349186,AG,FINSKIE
504,2016/03/11,9108740,NO,HUTA (KRA)
505,2016/03/11,7704057,PL,KATOWICKIE
506,2016/03/11,9114725,MT,WEGIERSKIE
507,2016/03/11,9268239,MT,FOSFATOWE DALBY
508,2016/03/12,7615749,PL,SPOLDZIELCZE
509,2016/03/12,8867052,RU,FOSFATOWE
510,2016/03/12,8911841,FO,CEMENTOWE
511,2016/03/12,9341782,NL,PIRS E
512,2016/03/12,9710139,BS,SLOWACKIE
513,2016/03/12,9455674,NL,CZESKIE
514,2016/03/13,8820286,CY,FOSFATOWE DALBY
515,2016/03/13,7704057,PL,CAL
516,2016/03/13,9467201,NL,SLOWACKIE
517,2016/03/13,9393266,NL,PRZEMYSLOWE
518,2016/03/13,9197399,AG,ODRA STARE
519,2016/03/13,8820107,MT,CZESKIE
520,2016/03/13,7615749,PL,FARBOLAK SWFIL
521,2016/03/13,9201803,NL,CZESKIE
522,2016/03/14,8714841,DE,SNOP N
523,2016/03/14,8818623,AG,BYTOMSKIE
524,2016/03/14,9356488,NL,GORNOSLASKIE
525,2016/03/14,7615749,PL,FARBOLAK SWFIL
526,2016/03/14,9360996,CY,FINSKIE
527,2016/03/15,9344409,NL,REGALICA
528,2016/03/15,9503914,CY,PARNICKIE
529,2016/03/15,9290672,MT,BULGARSKIE
530,2016/03/15,9341782,NL,PIRS E
531,2016/03/15,7615749,PL,FARBOLAK SWFIL
532,2016/03/15,9231846,AG,FINSKIE
533,2016/03/16,9387322,NL,CZESKIE
534,2016/03/16,7641475,PL,CAL
535,2016/03/16,6507983,VC,HUTA (KRA)
536,2016/03/16,9463449,NL,GORNOSLASKIE
537,2016/03/16,9124419,MT,PARNICKIE
538,2016/03/16,9364136,NL,HUTA (KRA)
539,2016/03/16,7615749,PL,FARBOLAK SWFIL
540,2016/03/17,9107136,NO,WALBRZYSKIE
541,2016/03/17,9219874,NL,CZESKIE
542,2016/03/18,9462500,AG,REGALICA
543,2016/03/18,8919221,AG,DRZETOWSKIE N
544,2016/03/18,9161247,PL,BULWAR CHROBREGO
545,2016/03/18,9364148,NL,SNOP S
546,2016/03/18,8415172,CY,ODRA NOWE
547,2016/03/18,6605503,PL,ODRA NOWE
548,2016/03/18,9404065,AG,FINSKIE
549,2016/03/19,9011985,DE,GLIWICKIE
550,2016/03/19,9165308,AG,CZESKIE
551,2016/03/19,9246918,DK,FOSFATOWE DALBY
552,2016/03/19,9341782,NL,PIRS E
553,2016/03/19,8704559,RU,BYTOMSKIE
554,2016/03/19,8222185,AG,SNOP S
555,2016/03/19,7638349,BS,CEMENTOWE
556,2016/03/19,8417259,FO,KATOWICKIE
557,2016/03/19,8415653,NO,BULGARSKIE
558,2016/03/19,8919855,AG,BELGIJSKIE
559,2016/03/19,8407228,DE,HUTA (KRA)
560,2016/03/19,9336701,DK,FOSFATOWE DALBY
